oid,relname,version,tree_level,index_size,root_block_no,internal_pages,leaf_pages,empty_pages,deleted_pages,avg_leaf_density,leaf_fragmentation
16422,customer_i1,4,3,1892761600,41827,1140,229909,0,0,90.67,0.01
16438,customer_i2,4,3,3494813696,17178,3280,423332,0,0,90.75,0
16424,district_i1,4,1,1114112,3,1,134,0,0,36.91,41.79
16426,item_i1,4,1,2260992,3,1,274,0,0,89.83,0
16428,new_order_i1,4,3,846757888,42442,439,76060,0,26864,88.88,1.74
16430,order_line_i1,4,3,61043974144,41827,46256,7405400,0,0,72.8,21.43
16432,orders_i1,4,3,5301649408,41827,3480,643693,0,0,81.41,9.37
16439,orders_i2,4,3,5899304960,41827,3625,716504,0,0,73.2,35.99
16434,stock_i1,4,3,4492369920,81517,1933,546451,0,0,90.29,0
16436,warehouse_i1,4,1,131072,3,1,14,0,0,35.33,57.14
