oid,relname,relkind,table_len,tuple_count,tuple_len,tuple_percent,dead_tuple_count,dead_tuple_len,dead_tuple_percent,free_space,free_percent
16435,customer_i1,i,2142535680,60213474,1449582064,67.66,497477,13397592,0.63,407905520,19.04
16451,customer_i2,i,3556057088,60209891,2866830912,80.62,214033,11660184,0.33,371010652,10.43
16437,district_i1,i,13959168,20000,320000,2.29,0,0,0,13385108,95.89
16439,item_i1,i,2260992,100000,1600000,70.77,0,0,0,227092,10.04
16441,new_order_i1,i,1127899136,18234110,437618640,38.8,228507,5484168,0.49,600454584,53.24
16443,order_line_i1,i,53271216128,1373847600,34207284144,64.21,4551154,109237904,0.21,12657432976,23.76
16445,orders_i1,i,4849778688,126427980,3034271520,62.57,0,0,0,1243437844,25.64
16452,orders_i2,i,5292482560,126427980,3034271520,57.33,0,0,0,1679314380,31.73
16447,stock_i1,i,5494628352,204541217,3337680640,60.74,17027893,304889552,5.55,903323424,16.44
16449,warehouse_i1,i,1409024,2000,32000,2.27,0,0,0,1341780,95.23
16406,customer,r,43714379776,60000000,35215839004,80.56,3529711,2107596490,4.82,5640935860,12.9
16411,district,r,779198464,20000,2289216,0.29,0,0,0,748068524,96
16414,history,r,10030956544,126420465,9025804026,89.98,0,0,0,41020480,0.41
16417,item,r,10641408,100000,9792157,92.02,0,0,0,60384,0.57
16420,new_order,r,1290641408,18227679,619741086,48.02,225386,7663124,0.59,425162824,32.94
16423,order_line,r,136331296768,1264242436,107958755010,79.19,87563642,7525925386,5.52,9400982068,6.9
16426,orders,r,8532385792,126427980,6537799602,76.62,0,0,0,659170944,7.73
16429,stock,r,82440970240,200000000,66181569810,80.28,18303605,6057383127,7.35,7899475396,9.58
16432,warehouse,r,378191872,2000,217572,0.06,0,0,0,363677164,96.16
