relid,schemaname,relname,seq_scan,seq_tup_read,idx_scan,idx_tup_fetch,n_tup_ins,n_tup_upd,n_tup_del,n_tup_hot_upd,n_live_tup,n_dead_tup,n_mod_since_analyze,n_ins_since_vacuum,last_vacuum,last_autovacuum,last_analyze,last_autoanalyze,vacuum_count,autovacuum_count,analyze_count,autoanalyze_count
16406,public,customer,6,120000000,0,0,60000000,0,0,0,60000000,0,0,0,2020-11-26 08:45:18.13375+00,,2020-11-26 08:35:12.520796+00,,1,0,1,0
1261,pg_catalog,pg_auth_members,0,0,0,0,0,0,0,0,3,0,0,0,2020-11-26 08:35:24.042044+00,,2020-11-26 08:35:12.159921+00,,3,0,3,0
4159,pg_toast,pg_toast_2600,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-26 08:35:24.037262+00,,,,1,0,0,0
4171,pg_toast,pg_toast_1247,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-26 08:35:24.032831+00,,,,1,0,0,0
4151,pg_toast,pg_toast_1417,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-26 08:35:24.053244+00,,,,1,0,0,0
3592,pg_catalog,pg_shseclabel,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-26 08:35:24.057791+00,,2020-11-26 08:35:12.163415+00,,3,0,3,0
3603,pg_catalog,pg_ts_config_map,0,0,0,0,0,0,0,0,494,0,0,0,2020-11-26 08:35:24.035931+00,,2020-11-26 08:35:12.156599+00,,1,0,1,0
16417,public,item,2,100000,0,0,100000,0,0,0,100000,0,0,0,2020-11-26 08:35:24.054948+00,,2020-11-26 08:35:12.217378+00,,1,0,1,0
3079,pg_catalog,pg_extension,0,0,12,10,1,4,0,4,2,0,0,0,2020-11-26 08:35:24.045743+00,,2020-11-26 08:35:12.160938+00,,1,0,1,0
2830,pg_toast,pg_toast_2604,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-26 08:35:24.049503+00,,,,1,0,0,0
