oid,relname,version,tree_level,index_size,root_block_no,internal_pages,leaf_pages,empty_pages,deleted_pages,avg_leaf_density,leaf_fragmentation
16435,customer_i1,4,3,2098216960,41827,1193,254936,0,0,82.57,9.83
16451,customer_i2,4,3,3575021568,17178,3330,433073,0,0,89.06,2.25
16437,district_i1,4,2,15179776,412,7,1845,0,0,2.95,50.14
16439,item_i1,4,1,2260992,3,1,274,0,0,89.83,0
16441,new_order_i1,4,3,1131995136,42442,645,77368,0,60169,84.61,6.29
16443,order_line_i1,4,3,52722073600,41827,38351,6397448,0,0,76.24,25.38
16445,orders_i1,4,3,4846231552,41827,2919,588661,0,0,72.98,19.03
16452,orders_i2,4,3,5266964480,41827,3271,639668,0,0,67.2,36.2
16447,stock_i1,4,3,5480890368,81517,2398,666655,0,0,83.93,18.03
16449,warehouse_i1,4,1,1433600,3,1,173,0,0,3.13,50.29
