oid,relname,relkind,table_len,tuple_count,tuple_len,tuple_percent,dead_tuple_count,dead_tuple_len,dead_tuple_percent,free_space,free_percent
16422,customer_i1,i,1892614144,60489203,1451740872,76.71,102632,2463168,0.13,170145400,8.99
16438,customer_i2,i,3494813696,60462323,2872340416,82.19,118157,5619440,0.16,310501520,8.88
16424,district_i1,i,811008,20000,320000,39.46,776,12416,1.53,372916,45.98
16426,item_i1,i,2260992,100000,1600000,70.77,0,0,0,227092,10.04
16428,new_order_i1,i,821731328,18069070,433657680,52.77,1341602,32198448,3.92,269284820,32.77
16430,order_line_i1,i,47611297792,1231635053,29619703608,62.21,189585,4550040,0.01,12355624520,25.95
16432,orders_i1,i,4146176000,123216794,2962805184,71.46,0,0,0,631510996,15.23
16439,orders_i2,i,4617756672,123557476,2965509408,64.22,1194,28656,0,1095177404,23.72
16434,stock_i1,i,4492353536,200795669,3212730704,71.52,145095,2321520,0.05,422722212,9.41
16436,warehouse_i1,i,106496,2000,32000,30.05,0,0,0,49428,46.41
16392,customer,r,39015104512,60000000,35013205989,89.74,769517,455585333,1.17,2923982032,7.49
16398,district,r,34521088,20000,2282298,6.61,2184,257436,0.75,30475552,88.28
16401,history,r,9718726656,122690350,8742682548,89.96,0,0,0,39969284,0.41
16404,item,r,10641408,100000,9792157,92.02,0,0,0,60384,0.57
16407,new_order,r,982802432,18068559,614331006,62.51,1204863,40965342,4.17,119324112,12.14
16410,order_line,r,122772856832,1226936847,104752515540,85.32,4707006,404562904,0.33,6898354360,5.62
16413,orders,r,7670300672,122693120,6343905122,82.71,291688,14584400,0.19,27468636,0.36
16416,stock,r,70453133312,200000000,66181569810,93.94,2086281,690609798,0.98,1796202404,2.55
16419,warehouse,r,3612672,2000,215990,5.98,0,0,0,3240264,89.69
