oid,relname,relkind,size,size_pretty
16392,customer,r,40776114176,38 GB
16422,customer_i1,i,1892982784,1805 MB
16438,customer_i2,i,3494813696,3333 MB
16398,district,r,56926208,54 MB
16424,district_i1,i,1630208,1592 kB
16401,history,r,12297068544,11 GB
16404,item,r,10674176,10 MB
16426,item_i1,i,2260992,2208 kB
16407,new_order,r,1273421824,1214 MB
16428,new_order_i1,i,1136721920,1084 MB
16410,order_line,r,164914028544,154 GB
16430,order_line_i1,i,64969465856,61 GB
16413,orders,r,9869246464,9412 MB
16432,orders_i1,i,5428486144,5177 MB
16439,orders_i2,i,6154625024,5870 MB
16416,stock,r,73205268480,68 GB
16434,stock_i1,i,4492353536,4284 MB
16419,warehouse,r,28794880,27 MB
16436,warehouse_i1,i,204800,200 kB
