relid,schemaname,relname,seq_scan,seq_tup_read,idx_scan,idx_tup_fetch,n_tup_ins,n_tup_upd,n_tup_del,n_tup_hot_upd,n_live_tup,n_dead_tup,n_mod_since_analyze,n_ins_since_vacuum,last_vacuum,last_autovacuum,last_analyze,last_autoanalyze,vacuum_count,autovacuum_count,analyze_count,autoanalyze_count
4171,pg_toast,pg_toast_1247,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-24 21:45:44.332007+00,2020-11-30 14:00:49.507863+00,,,1,2,0,0
4151,pg_toast,pg_toast_1417,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-24 21:45:44.35384+00,2020-11-30 14:00:49.328537+00,,,1,2,0,0
16398,public,district,343,6860000,263591008,264836521,20000,170060307,0,166898764,20000,10016,0,0,2020-11-24 21:45:44.331005+00,2020-11-30 14:01:54.064389+00,2020-11-24 21:45:32.6584+00,2020-11-30 14:01:54.30704+00,1,343,1,345
13301,pg_toast,pg_toast_13299,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-24 21:45:44.351074+00,2020-11-30 14:00:49.633822+00,,,1,2,0,0
3592,pg_catalog,pg_shseclabel,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-24 21:45:44.357277+00,2020-11-30 14:00:49.052986+00,2020-11-24 21:45:32.610801+00,,3,4,3,0
16392,public,customer,7,180000000,444600968,1390699485,60000000,164798921,0,157600800,59983653,8549555,73600172,0,2020-11-24 21:56:04.695814+00,,2020-11-24 21:45:32.959157+00,2020-11-30 12:48:18.649119+00,1,0,1,13
3603,pg_catalog,pg_ts_config_map,0,0,0,0,0,0,0,0,437,0,0,0,2020-11-24 21:45:44.335393+00,2020-11-30 14:00:48.903225+00,2020-11-24 21:45:32.603688+00,,1,2,1,0
3079,pg_catalog,pg_extension,0,0,18,10,3,6,0,6,4,0,9,0,2020-11-24 21:45:44.348448+00,2020-11-30 14:00:48.958581+00,2020-11-24 21:45:32.608837+00,,1,2,1,0
2830,pg_toast,pg_toast_2604,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-24 21:45:44.352733+00,2020-11-30 14:00:49.237592+00,,,1,2,0,0
13289,information_schema,sql_implementation_info,0,0,,,0,0,0,0,12,0,0,0,2020-11-24 21:45:44.348505+00,2020-11-30 14:00:49.162648+00,2020-11-24 21:45:32.609034+00,,1,2,1,0
16395,pg_toast,pg_toast_16392,1,0,0,0,0,0,0,0,0,0,0,0,2020-11-24 21:56:04.696629+00,2020-11-30 14:00:49.215106+00,,,1,2,0,0
826,pg_catalog,pg_default_acl,0,0,12,0,0,0,0,0,0,0,0,0,2020-11-24 21:45:44.356359+00,2020-11-30 14:00:49.017134+00,2020-11-24 21:45:32.610162+00,,1,2,1,0
3501,pg_catalog,pg_enum,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-24 21:45:44.356788+00,2020-11-30 13:59:48.466103+00,2020-11-24 21:45:32.61067+00,,1,2,1,0
2224,pg_catalog,pg_sequence,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-24 21:45:44.351625+00,2020-11-30 14:00:49.115048+00,2020-11-24 21:45:32.609331+00,,1,2,1,0
4157,pg_toast,pg_toast_2612,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-24 21:45:44.342231+00,2020-11-30 14:00:49.36341+00,,,1,2,0,0
4155,pg_toast,pg_toast_3394,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-24 21:45:44.338609+00,2020-11-30 14:00:49.3524+00,,,1,2,0,0
3118,pg_catalog,pg_foreign_table,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-24 21:45:44.350194+00,2020-11-30 13:59:48.101334+00,2020-11-24 21:45:32.610893+00,,1,2,1,0
1417,pg_catalog,pg_foreign_server,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-24 21:45:44.353407+00,2020-11-30 14:00:48.981833+00,2020-11-24 21:45:32.610034+00,,1,2,1,0
2616,pg_catalog,pg_opclass,26,26,12003,171799,0,0,0,0,130,0,0,0,2020-11-24 21:45:44.340664+00,2020-11-30 13:59:48.29278+00,2020-11-24 21:45:32.604589+00,,1,2,1,0
2600,pg_catalog,pg_aggregate,0,0,2005,2005,0,0,0,0,138,0,0,0,2020-11-24 21:45:44.337901+00,2020-11-30 13:59:48.373877+00,2020-11-24 21:45:32.604112+00,,1,2,1,0
1247,pg_catalog,pg_type,0,0,37145,33596,23,19,2,19,432,0,6,0,2020-11-24 21:45:44.331442+00,2020-11-30 13:59:48.090139+00,2020-11-24 21:45:32.601931+00,,1,2,1,0
16413,public,orders,7,180000000,178445528,177363260,145028436,84969940,0,73024853,144703055,4776223,12250466,6637378,2020-11-24 21:45:55.108129+00,2020-11-30 13:47:39.528076+00,2020-11-24 21:45:32.901231+00,2020-11-30 13:48:33.40677+00,1,3,1,8
4181,pg_toast,pg_toast_6000,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-24 21:45:44.353099+00,2020-11-30 14:00:49.563892+00,,,3,4,0,0
3256,pg_catalog,pg_policy,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-24 21:45:44.353704+00,2020-11-30 14:00:48.993341+00,2020-11-24 21:45:32.610152+00,,1,2,1,0
4147,pg_toast,pg_toast_3079,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-24 21:45:44.348994+00,2020-11-30 14:00:49.30629+00,,,1,2,0,0
6104,pg_catalog,pg_publication,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-24 21:45:44.35253+00,2020-11-30 14:00:49.126446+00,2020-11-24 21:45:32.609552+00,,1,2,1,0
3601,pg_catalog,pg_ts_parser,0,0,0,0,0,0,0,0,1,0,0,0,2020-11-24 21:45:44.345257+00,2020-11-30 14:00:48.931716+00,2020-11-24 21:45:32.608079+00,,1,2,1,0
13284,information_schema,sql_features,0,0,,,0,0,0,0,712,0,0,0,2020-11-24 21:45:44.332861+00,2020-11-30 14:00:49.204065+00,2020-11-24 21:45:32.60262+00,,1,2,1,0
2964,pg_catalog,pg_db_role_setting,0,0,4408,0,0,0,0,0,0,0,0,0,2020-11-24 21:45:44.356996+00,2020-11-30 13:59:48.532416+00,2020-11-24 21:45:32.610853+00,,3,4,3,0
2328,pg_catalog,pg_foreign_data_wrapper,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-24 21:45:44.352781+00,2020-11-30 14:00:48.969862+00,2020-11-24 21:45:32.609986+00,,1,2,1,0
2613,pg_catalog,pg_largeobject,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-24 21:45:44.355784+00,2020-11-30 13:59:48.13854+00,2020-11-24 21:45:32.610323+00,,1,2,1,0
13294,information_schema,sql_parts,0,0,,,0,0,0,0,10,0,0,0,2020-11-24 21:45:44.3502+00,2020-11-30 14:00:49.175976+00,2020-11-24 21:45:32.609902+00,,1,2,1,0
2753,pg_catalog,pg_opfamily,0,0,0,0,0,0,0,0,109,0,0,0,2020-11-24 21:45:44.336421+00,2020-11-30 13:59:48.280774+00,2020-11-24 21:45:32.604808+00,,1,2,1,0
2396,pg_catalog,pg_shdescription,0,0,0,0,0,0,0,0,3,0,0,0,2020-11-24 21:45:44.343348+00,2020-11-30 14:00:48.876292+00,2020-11-24 21:45:32.607103+00,,3,4,3,0
16404,public,item,3,200000,850135848,849276867,100000,0,0,0,99862,0,0,0,2020-11-24 21:45:44.351877+00,2020-11-30 13:59:42.858034+00,2020-11-24 21:45:32.662832+00,,1,2,1,0
2606,pg_catalog,pg_constraint,0,0,17,0,8,0,0,0,10,0,0,0,2020-11-24 21:45:44.341194+00,2020-11-30 13:59:48.228031+00,2020-11-24 21:45:32.605995+00,,1,2,1,0
4173,pg_toast,pg_toast_1418,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-24 21:45:44.355119+00,2020-11-30 14:00:49.518799+00,,,1,2,0,0
3602,pg_catalog,pg_ts_config,0,0,68,68,0,0,0,0,23,0,0,0,2020-11-24 21:45:44.344176+00,2020-11-30 14:00:48.889841+00,2020-11-24 21:45:32.607627+00,,1,2,1,0
3394,pg_catalog,pg_init_privs,0,0,56,13,13,11,2,11,187,0,26,0,2020-11-24 21:45:44.337899+00,2020-11-30 14:00:49.031028+00,2020-11-24 21:45:32.605266+00,,1,2,1,0
2602,pg_catalog,pg_amop,0,0,17875,28075,0,0,0,0,723,0,0,0,2020-11-24 21:45:44.333717+00,2020-11-30 13:59:48.32+00,2020-11-24 21:45:32.601331+00,,1,2,1,0
2838,pg_toast,pg_toast_2618,0,0,8,17,2,0,0,0,265,0,2,0,2020-11-24 21:45:44.334698+00,2020-11-30 14:00:49.421854+00,,,1,2,0,0
2615,pg_catalog,pg_namespace,8,32,3152,2628,0,0,0,0,4,0,0,0,2020-11-24 21:45:44.342598+00,2020-11-30 13:59:48.479339+00,2020-11-24 21:45:32.606201+00,,1,2,1,0
4165,pg_toast,pg_toast_3350,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-24 21:45:44.359125+00,2020-11-30 14:00:49.386231+00,,,1,2,0,0
2840,pg_toast,pg_toast_2619,0,0,1834502,3631589,7313,0,7232,0,94,32,14545,32,2020-11-24 21:45:44.329136+00,2020-11-30 14:01:54.32078+00,,,1,107,0,0
3598,pg_toast,pg_toast_3596,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-24 21:45:44.357904+00,2020-11-30 14:00:49.432891+00,,,1,2,0,0
2966,pg_toast,pg_toast_2964,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-24 21:45:44.357085+00,2020-11-30 14:00:49.552176+00,,,3,4,0,0
3541,pg_catalog,pg_range,0,0,500,0,0,0,0,0,6,0,0,0,2020-11-24 21:45:44.348859+00,2020-11-30 14:00:49.092667+00,2020-11-24 21:45:32.608873+00,,1,2,1,0
