userid,dbid,queryid,query,plans,total_plan_time,min_plan_time,max_plan_time,mean_plan_time,stddev_plan_time,calls,total_exec_time,min_exec_time,max_exec_time,mean_exec_time,stddev_exec_time,rows,shared_blks_hit,shared_blks_read,shared_blks_dirtied,shared_blks_written,local_blks_hit,local_blks_read,local_blks_dirtied,local_blks_written,temp_blks_read,temp_blks_written,blk_read_time,blk_write_time,wal_records,wal_fpi,wal_bytes
10,16385,4781283453004295250,GRANT EXECUTE ON FUNCTION pgstathashindex(regclass) TO pg_stat_scan_tables,0,0,0,0,0,0,1,0.018282,0.018282,0.018282,0.018282,0,0,12,0,0,0,0,0,0,0,0,0,0,0,2,0,218
10,16385,-6766677562622511123,COPY (SELECT * FROM pg_stat_statements) TO stdout WITH CSV HEADER,0,0,0,0,0,0,1,1.04575,1.04575,1.04575,1.04575,0,26,86,0,0,0,0,0,0,0,0,0,0,0,2,0,156
16384,16385,2149461525976508951,"UPDATE stock SET s_quantity = no_s_quantity
WHERE s_i_id = no_ol_i_id
AND s_w_id = no_ol_supply_w_id",0,0,0,0,0,0,851393663,23822633.290872496,0.001999,2611.5792410000004,0.027980750064495293,0.8390701360947236,850533412,5227540870,19465,16779128,783800,0,0,0,0,0,0,0,0,883921542,18706699,211459740884
10,16385,-5792852134034941533,ALTER EXTENSION pg_stat_statements DROP FUNCTION pg_stat_statements(boolean),0,0,0,0,0,0,1,0.016923,0.016923,0.016923,0.016923,0,0,13,0,0,0,0,0,0,0,0,0,0,0,1,0,54
10,16385,216036630461505403,COPY (SELECT * FROM pg_settings) TO stdout WITH CSV HEADER,0,0,0,0,0,0,1,1.101409,1.101409,1.101409,1.101409,0,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,16385,-1223765790011969516,"COPY (SELECT c.oid, c.relname, c.relkind, st.* FROM pg_class AS c, pgstattuple(c.oid::regclass) AS st WHERE c.relnamespace = (SELECT oid FROM pg_namespace WHERE nspname = 'public') AND relkind IN ('r', 'i') ORDER BY relkind, relname) TO stdout WITH CSV HEADER",0,0,0,0,0,0,1,269454.647611,269454.647611,269454.647611,269454.647611,0,19,20739212,24786490,0,0,0,0,0,0,0,0,0,0,3,0,218
16384,16385,3514885660842210698,"SELECT c_first, c_middle, c_last,
c_street_1, c_street_2, c_city, c_state, c_zip,
c_phone, c_credit, c_credit_lim,
c_discount, c_balance, c_since
                                                                                                                                                                            FROM customer
WHERE c_w_id = p_c_w_id AND c_d_id = p_c_d_id AND c_id = p_c_id",0,0,0,0,0,0,34046597,14972245.828100044,0.005115,347.111748,0.43975748378331414,2.1521171874830514,34046597,169986517,1150684,519918,178635,0,0,0,0,0,0,0,0,7023071,493319,3987316561
10,16385,-1955052314674129380,DROP FUNCTION pg_stat_statements(boolean),0,0,0,0,0,0,1,0.020412,0.020412,0.020412,0.020412,0,0,17,0,0,0,0,0,0,0,0,0,0,0,2,0,108
16384,16385,7977202802852495182,"INSERT INTO NEW_ORDER (no_o_id, no_d_id, no_w_id) VALUES (o_id, no_d_id, no_w_id)",0,0,0,0,0,0,85141654,4095352.061061212,0.0046630000000000005,2611.619896,0.048100452230599194,1.4299088213064879,85141654,433810857,67687,573783,140717,0,0,0,0,0,0,0,0,170892762,169799,12638747013
10,16385,-8610820246424350903,CREATE EXTENSION IF NOT EXISTS pgstattuple,0,0,0,0,0,0,1,4.050892,4.050892,4.050892,4.050892,0,0,1554,9,19,3,0,0,0,0,0,0,0,0,215,11,97455
