oid,relname,version,tree_level,index_size,root_block_no,internal_pages,leaf_pages,empty_pages,deleted_pages,avg_leaf_density,leaf_fragmentation
16422,customer_i1,4,3,1893048320,41827,1140,229944,0,0,91.34,0.03
16438,customer_i2,4,3,3494813696,17178,3280,423332,0,0,91.41,0
16424,district_i1,4,1,3334144,3,1,405,0,0,12.41,50.12
16426,item_i1,4,1,2260992,3,1,274,0,0,89.83,0
16428,new_order_i1,4,3,1045094400,42442,515,75020,0,52039,84.77,6.52
16430,order_line_i1,4,3,62307164160,41827,46390,7559464,0,0,75.19,24.64
16432,orders_i1,4,3,5454176256,41827,3395,662397,0,0,77.34,13.98
16439,orders_i2,4,3,5874966528,41827,3651,713507,0,0,71.83,37.79
16434,stock_i1,4,3,4492378112,81517,1933,546452,0,0,91.13,0
16436,warehouse_i1,4,1,385024,3,1,45,0,0,11.19,48.89
