oid,relname,relkind,size,size_pretty
16392,customer,r,41192923136,38 GB
16422,customer_i1,i,1893048320,1805 MB
16438,customer_i2,i,3494813696,3333 MB
16398,district,r,181198848,173 MB
16424,district_i1,i,3334144,3256 kB
16401,history,r,11745280000,11 GB
16404,item,r,10674176,10 MB
16426,item_i1,i,2260992,2208 kB
16407,new_order,r,1182711808,1128 MB
16428,new_order_i1,i,1045372928,997 MB
16410,order_line,r,157659545600,147 GB
16430,order_line_i1,i,62307164160,58 GB
16413,orders,r,9497649152,9058 MB
16432,orders_i1,i,5454176256,5202 MB
16439,orders_i2,i,5874966528,5603 MB
16416,stock,r,74412474368,69 GB
16434,stock_i1,i,4492378112,4284 MB
16419,warehouse,r,88088576,84 MB
16436,warehouse_i1,i,385024,376 kB
