oid,relname,relkind,table_len,tuple_count,tuple_len,tuple_percent,dead_tuple_count,dead_tuple_len,dead_tuple_percent,free_space,free_percent
16422,customer_i1,i,1893064704,60304884,1447318592,76.45,249275,5983016,0.32,171645144,9.07
16438,customer_i2,i,3494821888,60307384,2864985536,81.98,229585,10929512,0.31,312728356,8.95
16424,district_i1,i,3268608,20000,320000,9.79,0,0,0,2826836,86.48
16426,item_i1,i,2260992,100000,1600000,70.77,0,0,0,227092,10.04
16428,new_order_i1,i,1120296960,18235201,437644824,39.07,0,0,0,599302544,53.49
16430,order_line_i1,i,59444568064,1523141767,37900271672,63.76,4513846,108347088,0.18,14445893744,24.3
16432,orders_i1,i,5182726144,143852402,3466439568,66.88,0,0,0,1070165096,20.65
16439,orders_i2,i,5660983296,144678210,3473048568,61.35,2,48,0,1530556908,27.04
16434,stock_i1,i,4492402688,201852652,3229652344,71.89,1219582,19514136,0.43,380130844,8.46
16436,warehouse_i1,i,385024,2000,32000,8.31,0,0,0,325780,84.61
16392,customer,r,41022382080,60000000,35254182987,85.94,1533658,912713954,2.22,4148506296,10.11
16398,district,r,187482112,20000,2289414,1.22,0,0,0,177665320,94.76
16401,history,r,11303395328,142651222,10177764452,90.04,0,0,0,45481880,0.4
16404,item,r,10641408,100000,9792157,92.02,0,0,0,60384,0.57
16407,new_order,r,1264279552,18235201,619996834,49.04,0,0,0,406465696,32.15
16410,order_line,r,150811852800,1426336714,121891610556,80.82,69080830,5937343228,3.94,9885224968,6.55
16413,orders,r,9120825344,142634900,7380544398,80.92,610018,30544530,0.33,184860492,2.03
16416,stock,r,74224689152,200000000,66181569810,89.16,7377605,2441964580,3.29,3541684536,4.77
16419,warehouse,r,89341952,2000,217594,0.24,0,0,0,85640424,95.86
