relid,schemaname,relname,seq_scan,seq_tup_read,idx_scan,idx_tup_fetch,n_tup_ins,n_tup_upd,n_tup_del,n_tup_hot_upd,n_live_tup,n_dead_tup,n_mod_since_analyze,n_ins_since_vacuum,last_vacuum,last_autovacuum,last_analyze,last_autoanalyze,vacuum_count,autovacuum_count,analyze_count,autoanalyze_count
4171,pg_toast,pg_toast_1247,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-24 21:45:44.332007+00,2020-12-02 12:49:34.265553+00,,,1,1,0,0
4151,pg_toast,pg_toast_1417,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-24 21:45:44.35384+00,2020-12-02 12:49:34.080674+00,,,1,1,0,0
16398,public,district,478,7280000,200876257,201934158,20000,129596391,0,122946954,20000,15738,0,0,2020-11-24 21:45:44.331005+00,2020-12-02 13:35:56.100492+00,2020-11-24 21:45:32.6584+00,2020-12-02 13:35:56.277431+00,1,268,1,269
13301,pg_toast,pg_toast_13299,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-24 21:45:44.351074+00,2020-12-02 12:49:34.387685+00,,,1,1,0,0
3592,pg_catalog,pg_shseclabel,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-24 21:45:44.357277+00,2020-12-02 12:49:33.784093+00,2020-11-24 21:45:32.610801+00,,3,3,3,0
16392,public,customer,7,180000000,338810750,1053847044,60000000,125623945,0,116393762,59929300,11759277,36167789,0,2020-11-24 21:56:04.695814+00,,2020-11-24 21:45:32.959157+00,2020-12-02 12:43:47.922025+00,1,0,1,13
3603,pg_catalog,pg_ts_config_map,0,0,0,0,0,0,0,0,437,0,0,0,2020-11-24 21:45:44.335393+00,2020-12-02 12:49:33.599654+00,2020-11-24 21:45:32.603688+00,,1,1,1,0
3079,pg_catalog,pg_extension,0,0,18,10,3,6,0,6,4,0,9,0,2020-11-24 21:45:44.348448+00,2020-12-02 12:49:33.674293+00,2020-11-24 21:45:32.608837+00,,1,1,1,0
2830,pg_toast,pg_toast_2604,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-24 21:45:44.352733+00,2020-12-02 12:49:33.988427+00,,,1,1,0,0
13289,information_schema,sql_implementation_info,0,0,,,0,0,0,0,12,0,0,0,2020-11-24 21:45:44.348505+00,2020-12-02 12:49:33.908155+00,2020-11-24 21:45:32.609034+00,,1,1,1,0
16395,pg_toast,pg_toast_16392,1,0,0,0,0,0,0,0,0,0,0,0,2020-11-24 21:56:04.696629+00,2020-12-02 12:49:33.966553+00,,,1,1,0,0
826,pg_catalog,pg_default_acl,0,0,12,0,0,0,0,0,0,0,0,0,2020-11-24 21:45:44.356359+00,2020-12-02 12:49:33.741096+00,2020-11-24 21:45:32.610162+00,,1,1,1,0
3501,pg_catalog,pg_enum,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-24 21:45:44.356788+00,2020-12-02 12:49:33.43373+00,2020-11-24 21:45:32.61067+00,,1,1,1,0
2224,pg_catalog,pg_sequence,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-24 21:45:44.351625+00,2020-12-02 12:49:33.854466+00,2020-11-24 21:45:32.609331+00,,1,1,1,0
4157,pg_toast,pg_toast_2612,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-24 21:45:44.342231+00,2020-12-02 12:49:34.113633+00,,,1,1,0,0
4155,pg_toast,pg_toast_3394,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-24 21:45:44.338609+00,2020-12-02 12:49:34.102571+00,,,1,1,0,0
3118,pg_catalog,pg_foreign_table,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-24 21:45:44.350194+00,2020-12-02 12:49:33.020594+00,2020-11-24 21:45:32.610893+00,,1,1,1,0
1417,pg_catalog,pg_foreign_server,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-24 21:45:44.353407+00,2020-12-02 12:49:33.700966+00,2020-11-24 21:45:32.610034+00,,1,1,1,0
2616,pg_catalog,pg_opclass,20,20,11128,154876,0,0,0,0,130,0,0,0,2020-11-24 21:45:44.340664+00,2020-12-02 12:49:33.234946+00,2020-11-24 21:45:32.604589+00,,1,1,1,0
2600,pg_catalog,pg_aggregate,0,0,2119,2119,0,0,0,0,138,0,0,0,2020-11-24 21:45:44.337901+00,2020-12-02 12:49:33.327265+00,2020-11-24 21:45:32.604112+00,,1,1,1,0
