oid,relname,relkind,table_len,tuple_count,tuple_len,tuple_percent,dead_tuple_count,dead_tuple_len,dead_tuple_percent,free_space,free_percent
16422,customer_i1,i,1905786880,60159811,1443835536,75.76,16391,393440,0.02,194840396,10.22
16438,customer_i2,i,3496607744,60158031,2857884120,81.73,17472,832912,0.02,333140632,9.53
16424,district_i1,i,8159232,20000,320000,3.92,0,0,0,7654868,93.82
16426,item_i1,i,2260992,100000,1600000,70.77,0,0,0,227092,10.04
16428,new_order_i1,i,1123221504,18281859,438764616,39.06,799752,19194048,1.71,578245968,51.48
16430,order_line_i1,i,52383678464,1347319580,33437174904,63.83,4352082,104464072,0.2,12665300620,24.18
16432,orders_i1,i,4903649280,124899404,2997585696,61.13,0,0,0,1339471628,27.32
16439,orders_i2,i,5148409856,124899404,2997585696,58.22,0,0,0,1580379796,30.7
16434,stock_i1,i,4998864896,203563919,3321052624,66.44,2845791,53684896,1.07,742483464,14.85
16436,warehouse_i1,i,737280,2000,32000,4.34,0,0,0,675284,91.59
16392,customer,r,42239492096,60000000,35207285909,83.35,2571835,1534042439,3.63,4773581404,11.3
16398,district,r,97402880,20000,2288974,2.35,0,0,0,91113312,93.54
16401,history,r,9902768128,124897974,8913102722,90.01,0,0,0,41531836,0.42
16404,item,r,10641408,100000,9792157,92.02,0,0,0,60384,0.57
16407,new_order,r,1251303424,18275399,621363566,49.66,769305,26156370,2.09,362508336,28.97
16410,order_line,r,133029191680,1248947290,106644063858,80.17,74279022,6384126258,4.8,8759326616,6.58
16413,orders,r,8315346944,124899404,6458218210,77.67,0,0,0,543192864,6.53
16416,stock,r,77753737216,200000000,66181569810,85.12,11735481,3883995533,5,5529182440,7.11
16419,warehouse,r,42516480,2000,217526,0.51,0,0,0,40590432,95.47
