oid,relname,relkind,size,size_pretty
16392,customer,r,42251026432,39 GB
16422,customer_i1,i,1905786880,1818 MB
16438,customer_i2,i,3496607744,3335 MB
16398,district,r,97452032,93 MB
16424,district_i1,i,8159232,7968 kB
16401,history,r,9905446912,9447 MB
16404,item,r,10674176,10 MB
16426,item_i1,i,2260992,2208 kB
16407,new_order,r,1251672064,1194 MB
16428,new_order_i1,i,1123516416,1071 MB
16410,order_line,r,133064179712,124 GB
16430,order_line_i1,i,52383678464,49 GB
16413,orders,r,8317566976,7932 MB
16432,orders_i1,i,4903649280,4676 MB
16439,orders_i2,i,5148409856,4910 MB
16416,stock,r,77774962688,72 GB
16434,stock_i1,i,4998864896,4767 MB
16419,warehouse,r,42557440,41 MB
16436,warehouse_i1,i,737280,720 kB
