oid,relname,version,tree_level,index_size,root_block_no,internal_pages,leaf_pages,empty_pages,deleted_pages,avg_leaf_density,leaf_fragmentation
16422,customer_i1,4,3,1892958208,41827,1140,229933,0,0,90.84,0.02
16438,customer_i2,4,3,3494821888,17178,3280,423333,0,0,90.94,0
16424,district_i1,4,1,2662400,3,1,323,0,0,15.48,49.85
16426,item_i1,4,1,2260992,3,1,274,0,0,89.83,0
16428,new_order_i1,4,3,1060397056,42442,559,95106,0,33777,79.57,9.79
16430,order_line_i1,4,3,60117934080,41827,44574,7294040,0,0,75.35,24.2
16432,orders_i1,4,3,5226635264,41827,3145,634871,0,0,79.67,12.98
16439,orders_i2,4,3,5725642752,41827,3596,695334,0,0,73.06,37.44
16434,stock_i1,4,3,4492378112,81517,1933,546452,0,0,93.25,0
16436,warehouse_i1,4,1,360448,3,1,42,0,0,11.97,47.62
