oid,relname,relkind,size,size_pretty
16406,customer,r,44874530816,42 GB
16442,customer_i1,i,2174640128,2074 MB
16452,customer_i2,i,3648331776,3479 MB
16411,district,r,968040448,923 MB
16440,district_i1,i,16400384,16 MB
16414,history,r,9753493504,9302 MB
16417,item,r,10674176,10 MB
16435,item_i1,i,2260992,2208 kB
16420,new_order,r,1172439040,1118 MB
16438,new_order_i1,i,1098760192,1048 MB
16423,order_line,r,135102447616,126 GB
16437,order_line_i1,i,52661788672,49 GB
16426,orders,r,8567037952,8170 MB
16441,orders_i1,i,4976549888,4746 MB
16451,orders_i2,i,5246263296,5003 MB
16429,stock,r,85349318656,79 GB
16439,stock_i1,i,5481349120,5227 MB
16432,warehouse,r,469950464,448 MB
16436,warehouse_i1,i,1638400,1600 kB
