oid,relname,version,tree_level,index_size,root_block_no,internal_pages,leaf_pages,empty_pages,deleted_pages,avg_leaf_density,leaf_fragmentation
16442,customer_i1,4,3,1892573184,41827,1140,229886,0,0,90.04,0
16452,customer_i2,4,3,3494813696,17178,3280,423332,0,0,90.14,0
16440,district_i1,4,1,466944,3,1,55,0,0,89.5,0
16435,item_i1,4,1,2260992,3,1,274,0,0,89.83,0
16438,new_order_i1,4,3,567779328,42442,342,68966,0,0,90.04,0
16437,order_line_i1,4,3,18924789760,41827,11381,2298773,0,0,90.04,0
16441,orders_i1,4,3,1892573184,41827,1140,229886,0,0,90.04,0
16451,orders_i2,4,3,1892573184,41827,1140,229886,0,0,90.04,0
16439,stock_i1,4,3,4492353536,81517,1933,546449,0,0,90.09,0
16436,warehouse_i1,4,1,65536,3,1,6,0,0,82.03,0
