oid,relname,version,tree_level,index_size,root_block_no,internal_pages,leaf_pages,empty_pages,deleted_pages,avg_leaf_density,leaf_fragmentation
16434,customer_i1,4,3,1909161984,41827,1140,231911,0,0,89.26,0.87
16436,customer_i2,4,3,3837222912,14866,3850,464560,0,0,90.13,0.01
16437,district_i1,4,2,7905280,353,6,958,0,0,7.53,50.73
16441,item_i1,4,1,2260992,3,1,274,0,0,89.83,0
16439,new_order_i1,4,3,2456231936,41827,1546,107824,0,190462,69.42,4.99
16446,order_line_i1,4,4,61895090176,6784384,52371,7503181,0,0,65.97,0.09
16443,orders_i1,4,3,4392230912,41827,2917,533243,0,0,75.68,1.9
16445,orders_i2,4,3,5320458240,31668,3402,646067,0,0,76.47,32.26
16448,stock_i1,4,3,6308495360,41827,3795,766284,0,0,90.04,0
16450,warehouse_i1,4,1,1040384,3,1,125,0,0,4.22,52
