oid,relname,relkind,table_len,tuple_count,tuple_len,tuple_percent,dead_tuple_count,dead_tuple_len,dead_tuple_percent,free_space,free_percent
16434,customer_i1,i,1909161984,60000001,1440000024,75.43,0,0,0,203117640,10.64
16436,customer_i2,i,3837222912,60000001,3149836760,82.09,0,0,0,373651120,9.74
16437,district_i1,i,7905280,20000,480000,6.07,0,0,0,7221228,91.35
16441,item_i1,i,2260992,100000,1600000,70.77,0,0,0,227092,10.04
16439,new_order_i1,i,2456231936,19935497,526621264,21.44,0,0,0,1829045008,74.47
16446,order_line_i1,i,61895090176,1113150787,35620825184,57.55,5563,178016,0,20817116132,33.63
16443,orders_i1,i,4392230912,111270207,2826439264,64.35,0,0,0,1057069824,24.07
16445,orders_i2,i,5320458240,111270207,3560646624,66.92,0,0,0,1239151584,23.29
16448,stock_i1,i,6308495360,200000000,4800000000,76.09,0,0,0,622229172,9.86
16450,warehouse_i1,i,1040384,2000,32000,3.08,0,0,0,976020,93.81
16386,customer,r,78022090752,60000000,35890013631,46,5446324,3266472366,4.19,38030586460,48.74
16392,district,r,99999744,20000,2397957,2.4,0,0,0,94422588,94.42
16398,history,r,21498527744,111282769,9746669779,45.34,0,0,0,10862050396,50.52
16404,item,r,22208512,100000,10165892,45.77,0,0,0,11218988,50.52
16416,new_order,r,4084121600,19935497,789526717,19.33,0,0,0,3047826208,74.63
16428,order_line,r,251202166784,1112710119,116271430985,46.29,100928471,10285860691,4.09,110948414524,44.17
16422,orders,r,16130383872,111270207,7851970928,48.68,31610,2023040,0.01,7578837088,46.98
16413,stock,r,149056872448,200000000,67741677386,45.45,7593020,2571799770,1.73,76431531928,51.28
16410,warehouse,r,40271872,2000,220165,0.55,0,0,0,38455824,95.49
