oid,relname,relkind,size,size_pretty
16386,customer,r,78043676672,73 GB
16434,customer_i1,i,1909161984,1821 MB
16436,customer_i2,i,3837222912,3659 MB
16392,district,r,594059264,567 MB
16437,district_i1,i,7905280,7720 kB
16398,history,r,21504278528,20 GB
16404,item,r,22249472,21 MB
16441,item_i1,i,2260992,2208 kB
16416,new_order,r,4085252096,3896 MB
16439,new_order_i1,i,2456477696,2343 MB
16428,order_line,r,251268153344,234 GB
16446,order_line_i1,i,61895090176,58 GB
16422,orders,r,16134717440,15 GB
16443,orders_i1,i,4392230912,4189 MB
16445,orders_i2,i,5320458240,5074 MB
16413,stock,r,149098094592,139 GB
16448,stock_i1,i,6308495360,6016 MB
16410,warehouse,r,40312832,38 MB
16450,warehouse_i1,i,1040384,1016 kB
