relid,schemaname,relname,seq_scan,seq_tup_read,idx_scan,idx_tup_fetch,n_tup_ins,n_tup_upd,n_tup_del,n_tup_hot_upd,n_live_tup,n_dead_tup,n_mod_since_analyze,n_ins_since_vacuum,last_vacuum,last_autovacuum,last_analyze,last_autoanalyze,vacuum_count,autovacuum_count,analyze_count,autoanalyze_count
2966,pg_toast,pg_toast_2964,0,0,0,0,0,0,0,0,0,0,0,0,2020-12-07 00:24:40.51328+00,,,,1,0,0,0
3541,pg_catalog,pg_range,0,0,0,0,0,0,0,0,6,0,0,0,2020-12-07 00:24:40.565196+00,,2020-12-07 00:24:40.565501+00,,1,0,2,0
3600,pg_catalog,pg_ts_dict,0,0,0,0,0,0,0,0,23,0,0,0,2020-12-07 00:24:40.534287+00,,2020-12-07 00:24:40.535368+00,,1,0,2,0
3764,pg_catalog,pg_ts_template,0,0,0,0,0,0,0,0,5,0,0,0,2020-12-07 00:24:40.540016+00,,2020-12-07 00:24:40.540323+00,,1,0,2,0
16410,public,warehouse,2,4000,0,0,2000,0,0,0,2000,0,0,0,2020-12-06 23:57:42.918043+00,,2020-12-06 23:57:42.92417+00,,1,0,2,0
1213,pg_catalog,pg_tablespace,2,4,3,3,0,0,0,0,2,0,0,0,2020-12-07 00:24:40.515453+00,,2020-12-07 00:24:40.516661+00,,1,0,1,0
1259,pg_catalog,pg_class,58,2148,3612,3138,33,7,0,7,419,0,0,0,2020-12-07 00:24:40.436788+00,,2020-12-07 00:24:40.438512+00,,1,0,2,0
2617,pg_catalog,pg_operator,0,0,52,52,0,0,0,0,784,0,0,0,2020-12-07 00:24:40.452108+00,,2020-12-07 00:24:40.454102+00,,1,0,2,0
2603,pg_catalog,pg_amproc,6,21,194,403,0,0,0,0,483,0,0,0,2020-12-07 00:24:40.467995+00,,2020-12-07 00:24:40.469079+00,,1,0,2,0
2336,pg_toast,pg_toast_2620,0,0,0,0,0,0,0,0,0,0,0,0,2020-12-07 00:24:40.483954+00,,,,1,0,0,0
2609,pg_catalog,pg_description,0,0,0,0,0,0,0,0,4807,0,0,0,2020-12-07 00:24:40.487614+00,,2020-12-07 00:24:40.492914+00,,1,0,2,0
2611,pg_catalog,pg_inherits,0,0,0,0,0,0,0,0,0,0,0,0,2020-12-07 00:24:40.44728+00,,2020-12-07 00:24:40.447391+00,,1,0,2,0
16419,pg_toast,pg_toast_16416,1,0,0,0,0,0,0,0,0,0,0,0,2020-12-07 00:15:46.303599+00,,,,1,0,0,0
4143,pg_toast,pg_toast_826,0,0,0,0,0,0,0,0,0,0,0,0,2020-12-07 00:24:40.551804+00,,,,1,0,0,0
