oid,relname,relkind,table_len,tuple_count,tuple_len,tuple_percent,dead_tuple_count,dead_tuple_len,dead_tuple_percent,free_space,free_percent
16434,customer_i1,i,1892573184,60000000,1440000000,76.09,0,0,0,186674524,9.86
16436,customer_i2,i,3836854272,60000000,3149836704,82.09,0,0,0,373286412,9.73
16437,district_i1,i,589824,20000,480000,81.38,0,0,0,8476,1.44
16441,item_i1,i,2260992,100000,1600000,70.77,0,0,0,227092,10.04
16439,new_order_i1,i,567787520,18000000,432000000,76.08,0,0,0,56004492,9.86
16446,order_line_i1,i,24362033152,599963527,19198832864,78.81,0,0,0,2378580704,9.76
16443,orders_i1,i,1892573184,60000000,1440000000,76.09,0,0,0,186674524,9.86
16445,orders_i2,i,2435006464,60000000,1920000000,78.85,0,0,0,238818300,9.81
16448,stock_i1,i,6308495360,200000000,4800000000,76.09,0,0,0,622229172,9.86
16450,warehouse_i1,i,57344,2000,32000,55.8,0,0,0,660,1.15
16386,customer,r,77740965888,60000000,35611204204,45.81,0,0,0,41415161176,53.27
16392,district,r,27443200,20000,2379777,8.67,0,0,0,24819568,90.44
16398,history,r,11693023232,60000000,5280005366,45.16,0,0,0,5911556420,50.56
16404,item,r,22208512,100000,10165892,45.77,0,0,0,11218988,50.52
16416,new_order,r,1602928640,18000000,702000000,43.79,0,0,0,805449880,50.25
16428,order_line,r,137539870720,599963527,61924119766,45.02,0,0,0,69121905952,50.26
16422,orders,r,8987090944,60000000,4176000000,46.47,0,0,0,4540373348,50.52
16413,stock,r,148908466176,200000000,67741677386,45.49,0,0,0,79175444284,53.17
16410,warehouse,r,2899968,2000,218349,7.53,0,0,0,2656728,91.61
