oid,relname,relkind,size,size_pretty
16386,customer,r,77762486272,72 GB
16434,customer_i1,i,1892573184,1805 MB
16436,customer_i2,i,3836854272,3659 MB
16392,district,r,27484160,26 MB
16437,district_i1,i,589824,576 kB
16398,history,r,11696283648,11 GB
16404,item,r,22249472,21 MB
16441,item_i1,i,2260992,2208 kB
16416,new_order,r,1603403776,1529 MB
16439,new_order_i1,i,567787520,541 MB
16428,order_line,r,137577922560,128 GB
16446,order_line_i1,i,24362033152,23 GB
16422,orders,r,8989605888,8573 MB
16443,orders_i1,i,1892573184,1805 MB
16445,orders_i2,i,2435006464,2322 MB
16413,stock,r,148949655552,139 GB
16448,stock_i1,i,6308495360,6016 MB
16410,warehouse,r,2932736,2864 kB
16450,warehouse_i1,i,57344,56 kB
