relid,schemaname,relname,seq_scan,seq_tup_read,idx_scan,idx_tup_fetch,n_tup_ins,n_tup_upd,n_tup_del,n_tup_hot_upd,n_live_tup,n_dead_tup,n_mod_since_analyze,n_ins_since_vacuum,last_vacuum,last_autovacuum,last_analyze,last_autoanalyze,vacuum_count,autovacuum_count,analyze_count,autoanalyze_count
2966,pg_toast,pg_toast_2964,0,0,0,0,0,0,0,0,0,0,0,0,2020-12-07 17:41:23.924909+00,,,,2,0,0,0
3541,pg_catalog,pg_range,0,0,498,0,0,0,0,0,6,0,0,0,2020-12-07 17:41:23.959802+00,,2020-12-07 17:34:13.267961+00,,2,0,3,0
3600,pg_catalog,pg_ts_dict,0,0,0,0,0,0,0,0,23,0,0,0,2020-12-07 17:41:23.936647+00,,2020-12-07 17:34:13.258282+00,,2,0,3,0
3764,pg_catalog,pg_ts_template,0,0,0,0,0,0,0,0,5,0,0,0,2020-12-07 17:41:23.941604+00,,2020-12-07 17:34:13.26044+00,,2,0,3,0
16410,public,warehouse,5,10000,91858639,91859108,2000,45925240,0,45303716,1996,649330,65553,0,2020-12-07 17:35:46.53151+00,2020-12-08 12:24:19.241361+00,2020-12-07 17:33:47.494776+00,2020-12-08 12:24:19.676635+00,2,123,3,121
1213,pg_catalog,pg_tablespace,2,4,514,514,0,0,0,0,2,0,0,0,2020-12-07 17:41:23.926485+00,,2020-12-07 17:34:13.252258+00,,2,0,2,0
1259,pg_catalog,pg_class,1665,218475,953500,948473,56,90,20,40,419,0,0,0,2020-12-07 17:41:23.881401+00,,2020-12-07 17:34:13.223676+00,,2,0,3,0
2617,pg_catalog,pg_operator,0,0,31384,173110,0,0,0,0,784,0,0,0,2020-12-07 17:41:23.885354+00,,2020-12-07 17:34:13.227514+00,,2,0,3,0
2603,pg_catalog,pg_amproc,30,105,8105,20024,0,0,0,0,483,0,0,0,2020-12-07 17:41:23.894486+00,,2020-12-07 17:34:13.232635+00,,2,0,3,0
2336,pg_toast,pg_toast_2620,0,0,0,0,0,0,0,0,0,0,0,0,2020-12-07 17:41:23.907473+00,,,,2,0,0,0
2609,pg_catalog,pg_description,0,0,83,0,2,0,0,0,4776,0,2,2,2020-12-07 17:41:23.910946+00,,2020-12-07 17:34:13.24167+00,,2,0,3,0
2611,pg_catalog,pg_inherits,0,0,26,0,0,0,0,0,0,0,0,0,2020-12-07 17:41:23.884032+00,,2020-12-07 17:34:13.2249+00,,2,0,3,0
16419,pg_toast,pg_toast_16416,1,0,0,0,0,0,0,0,0,0,0,0,2020-12-07 17:34:27.211+00,,,,2,0,0,0
4143,pg_toast,pg_toast_826,0,0,0,0,0,0,0,0,0,0,0,0,2020-12-07 17:41:23.952226+00,,,,2,0,0,0
13296,pg_toast,pg_toast_13294,0,0,0,0,0,0,0,0,0,0,0,0,2020-12-07 17:41:23.96498+00,,,,2,0,0,0
1418,pg_catalog,pg_user_mapping,0,0,0,0,0,0,0,0,0,0,0,0,2020-12-07 17:41:23.776272+00,,2020-12-07 17:34:13.202753+00,,2,0,3,0
6106,pg_catalog,pg_publication_rel,0,0,0,0,0,0,0,0,0,0,0,0,2020-12-07 17:41:23.961169+00,,2020-12-07 17:34:13.268499+00,,2,0,3,0
6000,pg_catalog,pg_replication_origin,0,0,0,0,0,0,0,0,0,0,0,0,2020-12-07 17:41:23.950101+00,,2020-12-07 17:34:13.262161+00,,2,0,2,0
13299,information_schema,sql_sizing,0,0,,,0,0,0,0,23,0,0,0,2020-12-07 17:41:23.966026+00,,2020-12-07 17:34:13.273326+00,,2,0,3,0
4145,pg_toast,pg_toast_3466,0,0,0,0,0,0,0,0,0,0,0,0,2020-12-07 17:41:23.909854+00,,,,2,0,0,0
2619,pg_catalog,pg_statistic,0,0,1354303,1354117,92,4137,0,2893,494,51,4229,0,2020-12-07 17:34:32.889923+00,2020-12-08 12:19:59.001049+00,,,2,8,0,0
2995,pg_catalog,pg_largeobject_metadata,0,0,0,0,0,0,0,0,0,0,0,0,2020-12-07 17:41:23.899184+00,,2020-12-07 17:34:13.233897+00,,2,0,3,0
4177,pg_toast,pg_toast_1262,0,0,0,0,0,0,0,0,0,0,0,0,2020-12-07 17:41:23.924358+00,,,,2,0,0,0
16422,public,orders,15,420000000,93283981,90278575,105924955,44346900,0,25549734,104719500,15815167,2875043,18491841,2020-12-07 17:34:32.88382+00,2020-12-08 11:23:42.148487+00,2020-12-07 17:33:34.061168+00,2020-12-08 12:19:54.682929+00,2,1,3,7
6102,pg_catalog,pg_subscription_rel,14,0,0,0,0,0,0,0,0,0,0,0,2020-12-07 17:41:23.961545+00,,2020-12-07 17:34:13.268603+00,,2,0,3,0
4169,pg_toast,pg_toast_3600,0,0,0,0,0,0,0,0,0,0,0,0,2020-12-07 17:41:23.937433+00,,,,2,0,0,0
2618,pg_catalog,pg_rewrite,0,0,9,11,0,0,0,0,130,0,0,0,2020-12-07 17:41:23.903471+00,,2020-12-07 17:34:13.236309+00,,2,0,3,0
4060,pg_toast,pg_toast_3592,0,0,0,0,0,0,0,0,0,0,0,0,2020-12-07 17:41:23.955507+00,,,,2,0,0,0
13286,pg_toast,pg_toast_13284,0,0,0,0,0,0,0,0,0,0,0,0,2020-12-07 17:41:23.968316+00,,,,2,0,0,0
3596,pg_catalog,pg_seclabel,0,0,42,0,0,0,0,0,0,0,0,0,2020-12-07 17:41:23.953804+00,,2020-12-07 17:34:13.263867+00,,2,0,3,0
2604,pg_catalog,pg_attrdef,0,0,0,0,0,0,0,0,0,0,0,0,2020-12-07 17:41:23.881493+00,,2020-12-07 17:34:13.223751+00,,2,0,3,0
4171,pg_toast,pg_toast_1247,0,0,0,0,0,0,0,0,0,0,0,0,2020-12-07 17:34:32.891014+00,,,,2,0,0,0
13301,pg_toast,pg_toast_13299,0,0,0,0,0,0,0,0,0,0,0,0,2020-12-07 17:41:23.966494+00,,,,2,0,0,0
3592,pg_catalog,pg_shseclabel,0,0,0,0,0,0,0,0,0,0,0,0,2020-12-07 17:41:23.955033+00,,2020-12-07 17:34:13.263911+00,,2,0,2,0
3603,pg_catalog,pg_ts_config_map,0,0,0,0,0,0,0,0,437,0,0,0,2020-12-07 17:41:23.934624+00,,2020-12-07 17:34:13.257099+00,,2,0,3,0
4157,pg_toast,pg_toast_2612,0,0,0,0,0,0,0,0,0,0,0,0,2020-12-07 17:41:23.898434+00,,,,2,0,0,0
4155,pg_toast,pg_toast_3394,0,0,0,0,0,0,0,0,0,0,0,0,2020-12-07 17:41:23.953695+00,,,,2,0,0,0
1417,pg_catalog,pg_foreign_server,0,0,0,0,0,0,0,0,0,0,0,0,2020-12-07 17:41:23.947711+00,,2020-12-07 17:34:13.262071+00,,2,0,3,0
1247,pg_catalog,pg_type,3,1308,41479,36854,50,0,22,0,436,0,0,0,2020-12-07 17:34:32.890448+00,,2020-12-07 17:33:34.132627+00,,2,0,3,0
3256,pg_catalog,pg_policy,0,0,3,0,0,0,0,0,0,0,0,0,2020-12-07 17:41:23.948575+00,,2020-12-07 17:34:13.262105+00,,2,0,3,0
4147,pg_toast,pg_toast_3079,0,0,0,0,0,0,0,0,0,0,0,0,2020-12-07 17:41:23.944602+00,,,,2,0,0,0
6104,pg_catalog,pg_publication,6,0,0,0,0,0,0,0,0,0,0,0,2020-12-07 17:41:23.961116+00,,2020-12-07 17:34:13.268471+00,,2,0,3,0
3601,pg_catalog,pg_ts_parser,0,0,0,0,0,0,0,0,1,0,0,0,2020-12-07 17:41:23.939301+00,,2020-12-07 17:34:13.259356+00,,2,0,3,0
13284,information_schema,sql_features,0,0,,,0,0,0,0,712,0,0,0,2020-12-07 17:41:23.967526+00,,2020-12-07 17:34:13.27725+00,,2,0,3,0
13294,information_schema,sql_parts,0,0,,,0,0,0,0,10,0,0,0,2020-12-07 17:41:23.964499+00,,2020-12-07 17:34:13.271805+00,,2,0,3,0
16413,public,stock,9,1000000000,1547286333,1545765056,200000000,458642354,0,421053283,199049366,52394446,212181441,0,2020-12-07 17:38:56.462006+00,,2020-12-07 17:34:00.525198+00,2020-12-08 11:14:39.515168+00,2,0,3,9
2396,pg_catalog,pg_shdescription,0,0,0,0,0,0,0,0,3,0,0,0,2020-12-07 17:41:23.93094+00,,2020-12-07 17:34:13.254631+00,,2,0,2,0
2606,pg_catalog,pg_constraint,3,30,21,3,8,0,0,0,10,0,0,0,2020-12-07 17:41:23.883303+00,,2020-12-07 17:34:13.224777+00,,2,0,3,0
3602,pg_catalog,pg_ts_config,0,0,3364,3364,0,0,0,0,23,0,0,0,2020-12-07 17:41:23.932759+00,,2020-12-07 17:34:13.255543+00,,2,0,3,0
2602,pg_catalog,pg_amop,0,0,12160,18244,0,0,0,0,723,0,0,0,2020-12-07 17:41:23.892819+00,,2020-12-07 17:34:13.231636+00,,2,0,3,0
2838,pg_toast,pg_toast_2618,0,0,7,20,0,0,0,0,261,0,0,0,2020-12-07 17:41:23.905635+00,,,,2,0,0,0
4165,pg_toast,pg_toast_3350,0,0,0,0,0,0,0,0,0,0,0,0,2020-12-07 17:41:23.958916+00,,,,2,0,0,0
1214,pg_catalog,pg_shdepend,0,0,91,55,25,0,8,0,25,0,0,0,2020-12-07 17:41:23.92952+00,,2020-12-07 17:34:13.253686+00,,2,0,2,0
1255,pg_catalog,pg_proc,0,0,46035,80627,18,26,0,16,3026,14,38,12,2020-12-07 17:41:23.879813+00,,2020-12-07 17:34:13.221816+00,,2,0,3,0
2610,pg_catalog,pg_index,126,3696,272418,281024,24,9,6,9,171,0,0,0,2020-12-07 17:41:23.884337+00,,2020-12-07 17:34:13.225628+00,,2,0,3,0
1262,pg_catalog,pg_database,344,1285,5265,5263,1,0,0,0,4,0,0,0,2020-12-07 17:41:23.92366+00,,2020-12-07 17:34:13.251442+00,,2,0,2,0
3430,pg_toast,pg_toast_3429,0,0,0,0,0,0,0,0,0,0,0,0,2020-12-07 17:41:23.774953+00,,,,2,0,0,0
16425,pg_toast,pg_toast_16422,1,0,0,0,0,0,0,0,0,0,0,0,2020-12-07 17:34:32.884042+00,,,,2,0,0,0
3429,pg_catalog,pg_statistic_ext_data,0,0,0,0,0,0,0,0,0,0,0,0,2020-12-07 17:41:23.774396+00,,2020-12-07 17:34:13.20259+00,,2,0,3,0
3576,pg_catalog,pg_transform,0,0,14,0,0,0,0,0,0,0,0,0,2020-12-07 17:41:23.960592+00,,2020-12-07 17:34:13.268126+00,,2,0,3,0
2601,pg_catalog,pg_am,3926,3926,3,0,0,0,0,0,7,0,0,0,2020-12-07 17:41:23.889399+00,,2020-12-07 17:34:13.230215+00,,2,0,3,0
4167,pg_toast,pg_toast_3256,0,0,0,0,0,0,0,0,0,0,0,0,2020-12-07 17:41:23.949121+00,,,,2,0,0,0
1249,pg_catalog,pg_attribute,165,780,480276,3034547,487,19,198,6,2975,0,0,0,2020-12-07 17:41:23.878465+00,,2020-12-07 17:34:13.209449+00,,2,0,3,0
3381,pg_catalog,pg_statistic_ext,0,0,240958,0,0,0,0,0,0,0,0,0,2020-12-07 17:41:23.901147+00,,2020-12-07 17:34:13.234881+00,,2,0,3,0
2607,pg_catalog,pg_conversion,0,0,0,0,0,0,0,0,128,0,0,0,2020-12-07 17:41:23.919996+00,,2020-12-07 17:34:13.24438+00,,2,0,3,0
4163,pg_toast,pg_toast_2615,0,0,0,0,0,0,0,0,0,0,0,0,2020-12-07 17:41:23.91681+00,,,,2,0,0,0
2832,pg_toast,pg_toast_2606,0,0,0,0,0,0,0,0,0,0,0,0,2020-12-07 17:41:23.88387+00,,,,2,0,0,0
2834,pg_toast,pg_toast_2609,0,0,0,0,0,0,0,0,0,0,0,0,2020-12-07 17:41:23.911596+00,,,,2,0,0,0
4161,pg_toast,pg_toast_3456,0,0,0,0,0,0,0,0,0,0,0,0,2020-12-07 17:41:23.957766+00,,,,2,0,0,0
2836,pg_toast,pg_toast_1255,0,0,0,0,0,0,0,0,0,0,0,0,2020-12-07 17:41:23.880758+00,,,,2,0,0,0
2846,pg_toast,pg_toast_2396,0,0,0,0,0,0,0,0,0,0,0,0,2020-12-07 17:41:23.931635+00,,,,2,0,0,0
13291,pg_toast,pg_toast_13289,0,0,0,0,0,0,0,0,0,0,0,0,2020-12-07 17:41:23.963052+00,,,,2,0,0,0
3456,pg_catalog,pg_collation,0,0,53,24,0,0,0,0,779,0,0,0,2020-12-07 17:41:23.957209+00,,2020-12-07 17:34:13.266732+00,,2,0,3,0
2605,pg_catalog,pg_cast,0,0,106988,18635,0,0,0,0,224,0,0,0,2020-12-07 17:41:23.913403+00,,2020-12-07 17:34:13.242438+00,,2,0,3,0
4183,pg_toast,pg_toast_6100,0,0,0,0,0,0,0,0,0,0,0,0,2020-12-07 17:41:23.778308+00,,,,2,0,0,0
16416,public,new_order,8,72000000,91818041,109636338,63913879,0,44338470,0,19592863,4241099,1205102,4446611,2020-12-07 17:34:27.210361+00,2020-12-08 12:10:56.914174+00,2020-12-07 17:33:33.82665+00,2020-12-08 12:22:26.651834+00,2,9,3,20
3350,pg_catalog,pg_partitioned_table,0,0,0,0,0,0,0,0,0,0,0,0,2020-12-07 17:41:23.958334+00,,2020-12-07 17:34:13.266894+00,,2,0,3,0
3439,pg_toast,pg_toast_3381,0,0,0,0,0,0,0,0,0,0,0,0,2020-12-07 17:41:23.901808+00,,,,2,0,0,0
