oid,relname,version,tree_level,index_size,root_block_no,internal_pages,leaf_pages,empty_pages,deleted_pages,avg_leaf_density,leaf_fragmentation
16434,customer_i1,4,3,2231525376,41827,1336,271066,0,0,77.55,15.19
16436,customer_i2,4,3,4704501760,14866,4683,569596,0,0,74.72,18.45
16437,district_i1,4,2,41705472,351,25,4484,0,581,1.92,50.09
16441,item_i1,4,1,2260992,3,1,274,0,0,89.83,0
16439,new_order_i1,4,3,1456160768,41827,849,109141,0,67763,69.68,7.79
16446,order_line_i1,4,4,61941186560,7023762,51626,7509553,0,0,71.44,6.31
16443,orders_i1,4,3,5080686592,41827,3362,616838,0,0,69.87,21.51
16445,orders_i2,4,3,5729271808,31668,3617,695756,0,0,76.15,33.36
16448,stock_i1,4,3,6308511744,41827,3795,766286,0,0,91.54,0
16450,warehouse_i1,4,2,3571712,410,3,425,0,7,1.45,47.76
