oid,relname,relkind,table_len,tuple_count,tuple_len,tuple_percent,dead_tuple_count,dead_tuple_len,dead_tuple_percent,free_space,free_percent
16434,customer_i1,i,2231525376,60612483,1454699592,65.19,281381,6753144,0.3,496028076,22.23
16436,customer_i2,i,4704501760,60826959,3193273136,67.88,85761,4505368,0.1,1173829924,24.95
16437,district_i1,i,41705472,20000,480000,1.15,0,0,0,40609908,97.37
16441,item_i1,i,2260992,100000,1600000,70.77,0,0,0,227092,10.04
16439,new_order_i1,i,1456160768,20213401,534433360,36.7,20726,663232,0.05,824907064,56.65
16446,order_line_i1,i,61941186560,1191668945,38133406240,61.56,15538424,497229568,0.8,17485596144,28.23
16443,orders_i1,i,5080686592,119335649,3015457248,59.35,0,0,0,1514848728,29.82
16445,orders_i2,i,5729271808,119316084,3818114688,66.64,12917,413344,0.01,1352509848,23.61
16448,stock_i1,i,6308511744,200361585,4808678040,76.23,2994255,71862120,1.14,528281892,8.37
16450,warehouse_i1,i,3571712,2000,32000,0.9,0,0,0,3471708,97.2
16386,customer,r,43960008704,60000000,35866045349,81.59,4859494,2941294539,6.69,4412153344,10.04
16392,district,r,178741248,20000,2397337,1.34,0,0,0,169499380,94.83
16398,history,r,11693023232,106016874,9283937018,79.4,0,0,0,1588628724,13.59
16404,item,r,11018240,100000,10165892,92.26,0,0,0,67136,0.61
16416,new_order,r,1133355008,19584073,774848125,68.37,645071,26447911,2.33,162999424,14.38
16428,order_line,r,144728776704,1060246830,110721200411,76.5,60018316,6116967104,4.23,15332394788,10.59
16422,orders,r,8833097728,106027843,7477332112,84.65,4373826,279924864,3.17,457121124,5.18
16413,stock,r,84656816128,200000000,67741677386,80.02,16090530,5447882120,6.44,9169212248,10.83
16410,warehouse,r,83542016,2000,220105,0.26,29,3364,0,80003612,95.76
