oid,relname,relkind,table_len,tuple_count,tuple_len,tuple_percent,dead_tuple_count,dead_tuple_len,dead_tuple_percent,free_space,free_percent
16434,customer_i1,i,1892573184,60000000,1440000000,76.09,0,0,0,186674524,9.86
16436,customer_i2,i,3836854272,60000000,3149836704,82.09,0,0,0,373286412,9.73
16437,district_i1,i,589824,20000,480000,81.38,0,0,0,8476,1.44
16441,item_i1,i,2260992,100000,1600000,70.77,0,0,0,227092,10.04
16439,new_order_i1,i,567787520,18000000,432000000,76.08,0,0,0,56004492,9.86
16446,order_line_i1,i,24362033152,599963527,19198832864,78.81,0,0,0,2378580704,9.76
16443,orders_i1,i,1892573184,60000000,1440000000,76.09,0,0,0,186674524,9.86
16445,orders_i2,i,2435006464,60000000,1920000000,78.85,0,0,0,238818300,9.81
16448,stock_i1,i,6308495360,200000000,4800000000,76.09,0,0,0,622229172,9.86
16450,warehouse_i1,i,57344,2000,32000,55.8,0,0,0,660,1.15
16386,customer,r,37572042752,60000000,35611204204,94.78,0,0,0,1383674484,3.68
16392,district,r,2564096,20000,2379777,92.81,0,0,0,25540,1
16398,history,r,11693023232,60000000,5280005366,45.16,0,0,0,5911556420,50.56
16404,item,r,11018240,100000,10165892,92.26,0,0,0,67136,0.61
16416,new_order,r,797065216,18000000,702000000,88.07,0,0,0,2340872,0.29
16428,order_line,r,68578852864,599963527,61924119766,90.3,0,0,0,397578292,0.58
16422,orders,r,4444823552,60000000,4176000000,93.95,0,0,0,13636444,0.31
16413,stock,r,71232266240,200000000,67741677386,95.1,0,0,0,1764752128,2.48
16410,warehouse,r,237568,2000,218349,91.91,0,0,0,3436,1.45
