oid,relname,relkind,size,size_pretty
16386,customer,r,37582462976,35 GB
16434,customer_i1,i,1892573184,1805 MB
16436,customer_i2,i,3836854272,3659 MB
16392,district,r,2605056,2544 kB
16437,district_i1,i,589824,576 kB
16398,history,r,11696283648,11 GB
16404,item,r,11059200,11 MB
16441,item_i1,i,2260992,2208 kB
16416,new_order,r,797310976,760 MB
16439,new_order_i1,i,567787520,541 MB
16428,order_line,r,68597841920,64 GB
16446,order_line_i1,i,24362033152,23 GB
16422,orders,r,4446085120,4240 MB
16443,orders_i1,i,1892573184,1805 MB
16445,orders_i2,i,2435006464,2322 MB
16413,stock,r,71251976192,66 GB
16448,stock_i1,i,6308495360,6016 MB
16410,warehouse,r,270336,264 kB
16450,warehouse_i1,i,57344,56 kB
