userid,dbid,queryid,query,plans,total_plan_time,min_plan_time,max_plan_time,mean_plan_time,stddev_plan_time,calls,total_exec_time,min_exec_time,max_exec_time,mean_exec_time,stddev_exec_time,rows,shared_blks_hit,shared_blks_read,shared_blks_dirtied,shared_blks_written,local_blks_hit,local_blks_read,local_blks_dirtied,local_blks_written,temp_blks_read,temp_blks_written,blk_read_time,blk_write_time,wal_records,wal_fpi,wal_bytes
10,16385,-5792852134034941533,ALTER EXTENSION pg_stat_statements DROP FUNCTION pg_stat_statements(boolean),0,0,0,0,0,0,1,0.017199,0.017199,0.017199,0.017199,0,0,13,0,0,0,0,0,0,0,0,0,0,0,1,0,54
10,16385,-8063160503150200351,CREATE EXTENSION IF NOT EXISTS pg_stat_statements,0,0,0,0,0,0,1,37.417434,37.417434,37.417434,37.417434,0,0,1823,153,57,1,0,0,0,0,0,0,0,0,348,40,216673
10,16385,-1955052314674129380,DROP FUNCTION pg_stat_statements(boolean),0,0,0,0,0,0,1,0.058362,0.058362,0.058362,0.058362,0,0,17,0,0,0,0,0,0,0,0,0,0,0,2,0,108
10,16385,-3085278641555168774,"/* contrib/pg_stat_statements/pg_stat_statements--1.4--1.5.sql */

-- complain if script is sourced in psql, rather than via ALTER EXTENSION


GRANT EXECUTE ON FUNCTION pg_stat_statements_reset() TO pg_read_all_stats",0,0,0,0,0,0,1,0.5934,0.5934,0.5934,0.5934,0,0,13,2,0,0,0,0,0,0,0,0,0,0,2,0,218
10,16385,-6004647946072862589,"/* contrib/pg_stat_statements/pg_stat_statements--1.8--1.9.sql */

-- complain if script is sourced in psql, rather than via ALTER EXTENSION


--- Define pg_stat_statements_info
CREATE FUNCTION pg_stat_statements_info(
    OUT dealloc bigint
)
RETURNS bigint
AS '$libdir/pg_stat_statements'
LANGUAGE C STRICT VOLATILE PARALLEL SAFE",0,0,0,0,0,0,1,0.065916,0.065916,0.065916,0.065916,0,0,37,0,0,0,0,0,0,0,0,0,0,0,9,0,964
10,16385,-5005008434753111192,"/* Then we can drop them */
DROP FUNCTION pg_stat_statements_reset()",0,0,0,0,0,0,1,2.152567,2.152567,2.152567,2.152567,0,0,62,3,0,0,0,0,0,0,0,0,0,0,2,0,108
10,16385,7101910292398537824,"CREATE VIEW pg_stat_statements AS
  SELECT * FROM pg_stat_statements(true)",0,0,0,0,0,0,1,3.209317,3.209317,3.209317,3.209317,0,0,414,8,9,1,0,0,0,0,0,0,0,0,105,3,26043
10,16385,3746784141851241444,COPY (SELECT * FROM pg_stat_all_tables) TO stdout WITH CSV HEADER,0,0,0,0,0,0,1,0.8536210000000001,0.8536210000000001,0.8536210000000001,0.8536210000000001,0,120,16,2,0,0,0,0,0,0,0,0,0,0,0,0,0
10,16385,182993541420010127,COPY (SELECT * FROM pg_stat_database) TO stdout WITH CSV HEADER,0,0,0,0,0,0,1,10.351552,10.351552,10.351552,10.351552,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,16385,9219655088872814515,"CREATE FUNCTION pg_stat_statements(IN showtext boolean,
    OUT userid oid,
    OUT dbid oid,
    OUT queryid bigint,
    OUT query text,
    OUT calls int8,
    OUT total_time float8,
    OUT min_time float8,
    OUT max_time float8,
    OUT mean_time float8,
    OUT stddev_time float8,
    OUT rows int8,
    OUT shared_blks_hit int8,
    OUT shared_blks_read int8,
    OUT shared_blks_dirtied int8,
    OUT shared_blks_written int8,
    OUT local_blks_hit int8,
    OUT local_blks_read int8,
    OUT local_blks_dirtied int8,
    OUT local_blks_written int8,
    OUT temp_blks_read int8,
    OUT temp_blks_written int8,
    OUT blk_read_time float8,
    OUT blk_write_time float8
)
RETURNS SETOF record
AS '$libdir/pg_stat_statements', 'pg_stat_statements_1_3'
LANGUAGE C STRICT VOLATILE PARALLEL SAFE",0,0,0,0,0,0,1,0.53192,0.53192,0.53192,0.53192,0,0,99,2,0,0,0,0,0,0,0,0,0,0,9,0,1483
10,16385,1293503152993561188,GRANT SELECT ON pg_stat_statements_info TO PUBLIC,0,0,0,0,0,0,1,0.04949,0.04949,0.04949,0.04949,0,0,20,0,0,0,0,0,0,0,0,0,0,0,3,0,306
10,16385,-765267056411509909,"CREATE VIEW pg_stat_statements_info AS
  SELECT * FROM pg_stat_statements_info()",0,0,0,0,0,0,1,0.367359,0.367359,0.367359,0.367359,0,0,145,0,0,0,0,0,0,0,0,0,0,0,38,0,4461
