oid,relname,relkind,size,size_pretty
16406,customer,r,37261402112,35 GB
16463,customer_i1,i,1892573184,1805 MB
16453,customer_i2,i,3836854272,3659 MB
16411,district,r,2605056,2544 kB
16450,district_i1,i,589824,576 kB
16416,history,r,5792284672,5524 MB
16421,item,r,11051008,11 MB
16448,item_i1,i,2260992,2208 kB
16426,new_order,r,797310976,760 MB
16451,new_order_i1,i,567787520,541 MB
16431,order_line,r,68582367232,64 GB
16454,order_line_i1,i,24362033152,23 GB
16436,orders,r,4446085120,4240 MB
16461,orders_i1,i,1892573184,1805 MB
16447,orders_i2,i,2435006464,2322 MB
16441,stock,r,71251976192,66 GB
16452,stock_i1,i,6308495360,6016 MB
16444,warehouse,r,270336,264 kB
16449,warehouse_i1,i,57344,56 kB
