oid,relname,version,tree_level,index_size,root_block_no,internal_pages,leaf_pages,empty_pages,deleted_pages,avg_leaf_density,leaf_fragmentation
16463,customer_i1,4,3,1892974592,41827,1140,229935,0,0,90.02,0.02
16453,customer_i2,4,3,4551188480,14866,4317,551247,0,0,76.04,15.73
16450,district_i1,4,2,6733824,339,4,817,0,0,8.78,47.98
16448,item_i1,4,1,2260992,3,1,274,0,0,89.83,0
16451,new_order_i1,4,3,1775263744,41827,1022,100859,0,114825,73.52,5.16
16454,order_line_i1,4,4,96856178688,6044279,92789,11730474,0,0,64.97,1.57
16461,orders_i1,4,3,8807743488,41827,7016,1068147,0,0,60,6.22
16447,orders_i2,4,3,8253775872,31668,5348,1002192,0,0,71.38,36.93
16452,stock_i1,4,3,6308495360,41827,3795,766284,0,0,90.28,0
16449,warehouse_i1,4,1,704512,3,1,84,0,0,6.13,48.81
