oid,relname,version,tree_level,index_size,root_block_no,internal_pages,leaf_pages,empty_pages,deleted_pages,avg_leaf_density,leaf_fragmentation
16443,customer_i1,4,3,2261139456,41827,1390,274627,0,0,75.43,16.29
16458,customer_i2,4,3,4102438912,16948,3849,496936,0,0,76.86,14.81
16447,district_i1,4,2,19415040,412,11,2358,0,0,2.38,49.66
16445,item_i1,4,1,2260992,3,1,274,0,0,89.83,0
16442,new_order_i1,4,3,1022394368,42442,504,84688,0,39611,85.23,13.25
16446,order_line_i1,4,3,54959800320,41827,40207,6668752,0,0,70.35,25.71
16444,orders_i1,4,3,5029650432,41827,3087,610883,0,0,73.93,19.2
16456,orders_i2,4,3,5043068928,41827,3125,612483,0,0,74.01,35.65
16441,stock_i1,4,3,5517811712,81517,2415,671145,0,0,73.51,18.58
16440,warehouse_i1,4,1,1662976,3,1,199,0,2,2.76,49.25
