oid,relname,relkind,table_len,tuple_count,tuple_len,tuple_percent,dead_tuple_count,dead_tuple_len,dead_tuple_percent,free_space,free_percent
16440,customer_i1,i,1892573184,60468676,1451248224,76.68,74893,1797432,0.09,171456248,9.06
16452,customer_i2,i,3549290496,60485813,2873463600,80.96,73338,3487120,0.1,365165852,10.29
16439,district_i1,i,786432,20000,320000,40.69,0,0,0,364052,46.29
16435,item_i1,i,2260992,100000,1600000,70.77,0,0,0,227092,10.04
16441,new_order_i1,i,832028672,17976590,431438160,51.85,406500,9756000,1.17,308595932,37.09
16434,order_line_i1,i,47963676672,1219222548,29295353168,61.08,41016,984384,0,13080685860,27.27
16438,orders_i1,i,4171137024,122141327,2936643560,70.4,0,0,0,686683524,16.46
16450,orders_i2,i,4578271232,122463664,2939213632,64.2,492,11808,0,1086599996,23.73
16436,stock_i1,i,4604788736,200466519,3207464304,69.65,192186,3074976,0.07,539481280,11.72
16437,warehouse_i1,i,106496,2000,32000,30.05,0,0,0,49428,46.41
16405,customer,r,39520755712,60000000,35012987719,88.59,1813769,1074370811,2.72,2800678640,7.09
16410,district,r,36872192,20000,2281777,6.19,2116,249363,0.68,32834708,89.05
16413,history,r,9671958528,121678019,8701890946,89.97,0,0,0,38948048,0.4
16416,item,r,10633216,100000,9785910,92.03,0,0,0,57644,0.54
16419,new_order,r,983015424,17976080,611186720,62.17,409566,13925244,1.42,154954176,15.76
16422,order_line,r,121644171264,1216592827,103863122726,85.38,3485915,299603738,0.25,6902261916,5.67
16425,orders,r,7603609600,121664190,6290585720,82.73,347789,17389450,0.23,27919912,0.37
16428,stock,r,71279468544,200000000,66181713386,92.85,2529921,836909247,1.17,2450468384,3.44
16431,warehouse,r,1302528,2000,216549,16.63,0,0,0,1026996,78.85
