oid,relname,relkind,size,size_pretty
16405,customer,r,40855535616,38 GB
16440,customer_i1,i,1892589568,1805 MB
16452,customer_i2,i,3549126656,3385 MB
16410,district,r,51634176,49 MB
16439,district_i1,i,3497984,3416 kB
16413,history,r,11636580352,11 GB
16416,item,r,10665984,10 MB
16435,item_i1,i,2260992,2208 kB
16419,new_order,r,1021091840,974 MB
16441,new_order_i1,i,888217600,847 MB
16422,order_line,r,157483892736,147 GB
16434,order_line_i1,i,62268940288,58 GB
16425,orders,r,9328525312,8896 MB
16438,orders_i1,i,5496414208,5242 MB
16450,orders_i2,i,5766381568,5499 MB
16428,stock,r,74532642816,69 GB
16436,stock_i1,i,4921786368,4694 MB
16431,warehouse,r,7356416,7184 kB
16437,warehouse_i1,i,385024,376 kB
