relid,schemaname,relname,seq_scan,seq_tup_read,idx_scan,idx_tup_fetch,n_tup_ins,n_tup_upd,n_tup_del,n_tup_hot_upd,n_live_tup,n_dead_tup,n_mod_since_analyze,n_ins_since_vacuum,last_vacuum,last_autovacuum,last_analyze,last_autoanalyze,vacuum_count,autovacuum_count,analyze_count,autoanalyze_count
1261,pg_catalog,pg_auth_members,0,0,0,0,0,0,0,0,3,0,0,0,2020-12-10 14:19:47.932914+00,,2020-12-10 14:19:46.566698+00,,3,0,3,0
4159,pg_toast,pg_toast_2600,0,0,0,0,0,0,0,0,0,0,0,0,2020-12-10 14:19:47.952166+00,,,,1,0,0,0
4171,pg_toast,pg_toast_1247,0,0,0,0,0,0,0,0,0,0,0,0,2020-12-10 14:19:47.936894+00,,,,1,0,0,0
4151,pg_toast,pg_toast_1417,0,0,0,0,0,0,0,0,0,0,0,0,2020-12-10 14:19:47.947583+00,,,,1,0,0,0
3592,pg_catalog,pg_shseclabel,1,0,0,0,0,0,0,0,0,0,0,0,2020-12-10 14:19:47.932897+00,,2020-12-10 14:19:46.550726+00,,3,0,3,0
3603,pg_catalog,pg_ts_config_map,0,0,0,0,0,0,0,0,494,0,0,0,2020-12-10 14:19:47.947622+00,,2020-12-10 14:19:46.570862+00,,1,0,1,0
3079,pg_catalog,pg_extension,1,2,13,11,1,5,0,5,2,0,0,0,2020-12-10 14:19:47.933485+00,,2020-12-10 14:19:46.567832+00,,1,0,1,0
2830,pg_toast,pg_toast_2604,0,0,0,0,0,0,0,0,0,0,0,0,2020-12-10 14:19:47.947126+00,,,,1,0,0,0
826,pg_catalog,pg_default_acl,1,0,6,0,0,0,0,0,0,0,0,0,2020-12-10 14:19:47.936508+00,,2020-12-10 14:19:46.552502+00,,1,0,1,0
3501,pg_catalog,pg_enum,0,0,0,0,0,0,0,0,0,0,0,0,2020-12-10 14:19:47.94765+00,,2020-12-10 14:19:46.552295+00,,1,0,1,0
2224,pg_catalog,pg_sequence,0,0,0,0,0,0,0,0,0,0,0,0,2020-12-10 14:19:47.93579+00,,2020-12-10 14:19:46.551802+00,,1,0,1,0
4155,pg_toast,pg_toast_3394,0,0,0,0,0,0,0,0,0,0,0,0,2020-12-10 14:19:47.936896+00,,,,1,0,0,0
4157,pg_toast,pg_toast_2612,0,0,0,0,0,0,0,0,0,0,0,0,2020-12-10 14:19:47.947749+00,,,,1,0,0,0
13433,information_schema,sql_parts,0,0,,,0,0,0,0,10,0,0,0,2020-12-10 14:19:47.941436+00,,2020-12-10 14:19:46.572717+00,,1,0,1,0
3118,pg_catalog,pg_foreign_table,0,0,0,0,0,0,0,0,0,0,0,0,2020-12-10 14:19:47.935765+00,,2020-12-10 14:19:46.552396+00,,1,0,1,0
1417,pg_catalog,pg_foreign_server,1,0,0,0,0,0,0,0,0,0,0,0,2020-12-10 14:19:47.941415+00,,2020-12-10 14:19:46.552825+00,,1,0,1,0
2616,pg_catalog,pg_opclass,17,147,1478,20258,0,0,0,0,131,0,0,0,2020-12-10 14:19:47.941677+00,,2020-12-10 14:19:46.572607+00,,1,0,1,0
13431,pg_toast,pg_toast_13428,0,0,0,0,0,0,0,0,0,0,0,0,2020-12-10 14:19:47.947565+00,,,,1,0,0,0
16431,public,warehouse,1,2000,0,0,2000,0,0,0,2000,0,0,0,2020-12-10 14:19:47.937218+00,,2020-12-10 14:19:46.581458+00,,1,0,1,0
16410,public,district,1,20000,0,0,20000,0,0,0,20000,0,0,0,2020-12-10 14:19:47.948255+00,,2020-12-10 14:19:46.632553+00,,1,0,1,0
2600,pg_catalog,pg_aggregate,0,0,4,4,0,0,0,0,138,0,0,0,2020-12-10 14:19:47.947289+00,,2020-12-10 14:19:46.572695+00,,1,0,1,0
1247,pg_catalog,pg_type,12,7140,2426,2356,24,18,2,18,595,14,18,0,2020-12-10 14:19:47.932825+00,,2020-12-10 14:19:46.568193+00,,1,0,1,0
4181,pg_toast,pg_toast_6000,0,0,0,0,0,0,0,0,0,0,0,0,2020-12-10 14:19:47.933772+00,,,,3,0,0,0
3256,pg_catalog,pg_policy,14,0,0,0,0,0,0,0,0,0,0,0,2020-12-10 14:19:47.93942+00,,2020-12-10 14:19:46.552772+00,,1,0,1,0
8888,pg_toast,pg_toast_2608,0,0,0,0,0,0,0,0,0,0,0,0,2020-12-10 14:19:48.029467+00,,,,1,0,0,0
13428,information_schema,sql_implementation_info,0,0,,,0,0,0,0,12,0,0,0,2020-12-10 14:19:47.941452+00,,2020-12-10 14:19:46.57091+00,,1,0,1,0
4147,pg_toast,pg_toast_3079,0,0,0,0,0,0,0,0,0,0,0,0,2020-12-10 14:19:47.936907+00,,,,1,0,0,0
6104,pg_catalog,pg_publication,7,0,0,0,0,0,0,0,0,0,0,0,2020-12-10 14:19:47.939472+00,,2020-12-10 14:19:46.551849+00,,1,0,1,0
3601,pg_catalog,pg_ts_parser,1,1,0,0,0,0,0,0,1,0,0,0,2020-12-10 14:19:47.951889+00,,2020-12-10 14:19:46.570728+00,,1,0,1,0
2328,pg_catalog,pg_foreign_data_wrapper,1,0,0,0,0,0,0,0,0,0,0,0,2020-12-10 14:19:47.939462+00,,2020-12-10 14:19:46.552553+00,,1,0,1,0
2964,pg_catalog,pg_db_role_setting,2,0,3352,0,0,0,0,0,0,0,0,0,2020-12-10 14:19:47.932759+00,,2020-12-10 14:19:46.551039+00,,3,0,3,0
2613,pg_catalog,pg_largeobject,0,0,0,0,0,0,0,0,0,0,0,0,2020-12-10 14:19:47.936119+00,,2020-12-10 14:19:46.55228+00,,1,0,1,0
2396,pg_catalog,pg_shdescription,1,3,0,0,0,0,0,0,3,0,0,0,2020-12-10 14:19:47.932786+00,,2020-12-10 14:19:46.56816+00,,3,0,3,0
2753,pg_catalog,pg_opfamily,1,110,0,0,0,0,0,0,110,0,0,0,2020-12-10 14:19:48.016583+00,,2020-12-10 14:19:46.570817+00,,1,0,1,0
2606,pg_catalog,pg_constraint,12,144,35,15,10,0,0,0,12,0,0,0,2020-12-10 14:19:47.93262+00,,2020-12-10 14:19:46.568411+00,,1,0,1,0
4173,pg_toast,pg_toast_1418,0,0,0,0,0,0,0,0,0,0,0,0,2020-12-10 14:19:47.947169+00,,,,1,0,0,0
16425,public,orders,6,120000000,0,0,60000000,0,0,0,60000000,0,0,0,2020-12-10 14:20:28.947323+00,,2020-12-10 14:19:46.921289+00,,1,0,1,0
3394,pg_catalog,pg_init_privs,214,42372,51,4,5,2,2,2,198,0,0,0,2020-12-10 14:19:47.93309+00,,2020-12-10 14:19:46.567782+00,,1,0,1,0
3602,pg_catalog,pg_ts_config,1,26,52,52,0,0,0,0,26,0,0,0,2020-12-10 14:19:47.941529+00,,2020-12-10 14:19:46.57261+00,,1,0,1,0
2602,pg_catalog,pg_amop,0,0,1103,1344,0,0,0,0,724,0,0,0,2020-12-10 14:19:47.947927+00,,2020-12-10 14:19:46.570829+00,,1,0,1,0
2838,pg_toast,pg_toast_2618,0,0,7,12,2,0,0,0,264,0,2,0,2020-12-10 14:19:47.933882+00,,,,1,0,0,0
13423,information_schema,sql_features,0,0,,,0,0,0,0,712,0,0,0,2020-12-10 14:19:47.941762+00,,2020-12-10 14:19:46.583436+00,,1,0,1,0
2615,pg_catalog,pg_namespace,27,104,761,707,0,0,0,0,4,0,0,0,2020-12-10 14:19:47.941596+00,,2020-12-10 14:19:46.56827+00,,1,0,1,0
4165,pg_toast,pg_toast_3350,0,0,0,0,0,0,0,0,0,0,0,0,2020-12-10 14:19:47.939397+00,,,,1,0,0,0
2840,pg_toast,pg_toast_2619,0,0,60,36,85,0,12,0,85,0,97,0,2020-12-10 14:19:47.934586+00,,,,1,0,0,0
3598,pg_toast,pg_toast_3596,0,0,0,0,0,0,0,0,0,0,0,0,2020-12-10 14:19:47.937026+00,,,,1,0,0,0
2966,pg_toast,pg_toast_2964,0,0,0,0,0,0,0,0,0,0,0,0,2020-12-10 14:19:47.932963+00,,,,3,0,0,0
3541,pg_catalog,pg_range,0,0,3,0,0,0,0,0,6,0,0,0,2020-12-10 14:19:47.947595+00,,2020-12-10 14:19:46.570926+00,,1,0,1,0
1214,pg_catalog,pg_shdepend,0,0,61,35,16,0,0,0,25,0,15,15,2020-12-10 14:19:47.932856+00,,2020-12-10 14:19:46.568416+00,,3,0,3,0
3600,pg_catalog,pg_ts_dict,1,26,0,0,0,0,0,0,26,0,0,0,2020-12-10 14:19:47.951918+00,,2020-12-10 14:19:46.570933+00,,1,0,1,0
3764,pg_catalog,pg_ts_template,1,5,0,0,0,0,0,0,5,0,0,0,2020-12-10 14:19:47.952167+00,,2020-12-10 14:19:46.570696+00,,1,0,1,0
2610,pg_catalog,pg_index,67,1871,2054,2274,11,0,0,0,165,0,0,0,2020-12-10 14:19:47.932385+00,,2020-12-10 14:19:46.568229+00,,1,0,1,0
1255,pg_catalog,pg_proc,8,24432,12797,13874,11,5,2,1,3045,1,7,6,2020-12-10 14:19:48.016625+00,,2020-12-10 14:19:46.585834+00,,1,0,1,0
1213,pg_catalog,pg_tablespace,221,442,14,14,0,0,0,0,2,0,0,0,2020-12-10 14:19:47.932669+00,,2020-12-10 14:19:46.568262+00,,3,0,3,0
1262,pg_catalog,pg_database,312,1176,2719,2717,1,0,0,0,4,0,0,0,2020-12-10 14:19:47.932769+00,,2020-12-10 14:19:46.567721+00,,3,0,3,0
1259,pg_catalog,pg_class,429,107873,4304,4207,24,28,1,26,412,21,21,0,2020-12-10 14:19:47.937134+00,,2020-12-10 14:19:46.568245+00,,1,0,1,0
3430,pg_toast,pg_toast_3429,0,0,0,0,0,0,0,0,0,0,0,0,2020-12-10 14:19:47.93968+00,,,,1,0,0,0
2603,pg_catalog,pg_amproc,16,56,1065,2491,0,0,0,0,486,0,0,0,2020-12-10 14:19:47.947742+00,,2020-12-10 14:19:46.572613+00,,1,0,1,0
2617,pg_catalog,pg_operator,1,769,381,804,0,0,0,0,769,0,0,0,2020-12-10 14:19:47.941958+00,,2020-12-10 14:19:46.572661+00,,1,0,1,0
