relid,schemaname,relname,seq_scan,seq_tup_read,idx_scan,idx_tup_fetch,n_tup_ins,n_tup_upd,n_tup_del,n_tup_hot_upd,n_live_tup,n_dead_tup,n_mod_since_analyze,n_ins_since_vacuum,last_vacuum,last_autovacuum,last_analyze,last_autoanalyze,vacuum_count,autovacuum_count,analyze_count,autoanalyze_count
3596,pg_catalog,pg_seclabel,0,0,6,0,0,0,0,0,0,0,0,0,2021-01-26 14:22:33.933517+00,2021-01-27 15:05:59.717312+00,2021-01-26 14:22:15.928223+00,,1,1,1,0
2604,pg_catalog,pg_attrdef,0,0,0,0,0,0,0,0,0,0,0,0,2021-01-26 14:22:33.94472+00,2021-01-27 15:05:59.026047+00,2021-01-26 14:22:15.927692+00,,1,1,1,0
1261,pg_catalog,pg_auth_members,0,0,0,0,0,0,0,0,3,0,0,0,2021-01-26 14:22:33.943808+00,2021-01-27 15:05:59.49803+00,2021-01-26 14:22:15.968426+00,,3,3,3,0
4159,pg_toast,pg_toast_2600,0,0,0,0,0,0,0,0,0,0,0,0,2021-01-26 14:22:33.946767+00,2021-01-27 15:06:00.020832+00,,,1,1,0,0
4171,pg_toast,pg_toast_1247,0,0,0,0,0,0,0,0,0,0,0,0,2021-01-26 14:22:33.945509+00,2021-01-27 15:05:59.968715+00,,,1,1,0,0
4151,pg_toast,pg_toast_1417,0,0,0,0,0,0,0,0,0,0,0,0,2021-01-26 14:22:33.945307+00,2021-01-27 15:06:00.253462+00,,,1,1,0,0
3592,pg_catalog,pg_shseclabel,0,0,0,0,0,0,0,0,0,0,0,0,2021-01-26 14:22:33.933487+00,2021-01-27 15:05:59.729098+00,2021-01-26 14:22:15.926087+00,,3,3,3,0
3603,pg_catalog,pg_ts_config_map,0,0,0,0,0,0,0,0,494,0,0,0,2021-01-26 14:22:33.94618+00,2021-01-27 15:05:59.553156+00,2021-01-26 14:22:15.975417+00,,1,1,1,0
3079,pg_catalog,pg_extension,0,0,19,13,3,7,0,7,4,0,4,0,2021-01-26 14:22:33.94471+00,2021-01-27 15:05:59.627725+00,2021-01-26 14:22:15.969644+00,,1,1,1,0
16428,public,order_line,2,1199927054,78645656,2050264212,1284320813,674115468,0,430225472,739929549,46195503,1133961486,52915008,2021-01-26 14:39:42.375567+00,2021-01-27 15:31:38.376625+00,2021-01-26 14:22:23.221884+00,2021-01-27 13:55:14.725674+00,1,1,1,3
2830,pg_toast,pg_toast_2604,0,0,0,0,0,0,0,0,0,0,0,0,2021-01-26 14:22:33.945501+00,2021-01-27 15:05:59.982049+00,,,1,1,0,0
16419,public,history,1,60000000,,,128434311,0,0,0,128357659,0,2553724,15961151,2021-01-26 14:24:23.658554+00,2021-01-27 15:12:36.165532+00,2021-01-26 14:22:33.390949+00,2021-01-27 15:36:16.445819+00,1,3,1,7
826,pg_catalog,pg_default_acl,0,0,8,0,0,0,0,0,0,0,0,0,2021-01-26 14:22:33.933968+00,2021-01-27 15:05:59.686241+00,2021-01-26 14:22:15.92788+00,,1,1,1,0
3501,pg_catalog,pg_enum,0,0,0,0,0,0,0,0,0,0,0,0,2021-01-26 14:22:33.934745+00,2021-01-27 15:05:59.367317+00,2021-01-26 14:22:15.928144+00,,1,1,1,0
2224,pg_catalog,pg_sequence,0,0,0,0,0,0,0,0,0,0,0,0,2021-01-26 14:22:33.944205+00,2021-01-27 15:05:59.815094+00,2021-01-26 14:22:15.927458+00,,1,1,1,0
4155,pg_toast,pg_toast_3394,0,0,0,0,0,0,0,0,0,0,0,0,2021-01-26 14:22:33.945498+00,2021-01-27 15:06:00.33482+00,,,1,1,0,0
4157,pg_toast,pg_toast_2612,0,0,0,0,0,0,0,0,0,0,0,0,2021-01-26 14:22:33.946374+00,2021-01-27 15:06:00.007854+00,,,1,1,0,0
13433,information_schema,sql_parts,0,0,,,0,0,0,0,10,0,0,0,2021-01-26 14:22:33.945516+00,2021-01-27 15:05:59.932066+00,2021-01-26 14:22:15.965935+00,,1,1,1,0
3118,pg_catalog,pg_foreign_table,0,0,0,0,0,0,0,0,0,0,0,0,2021-01-26 14:22:33.943948+00,2021-01-27 15:05:58.888386+00,2021-01-26 14:22:15.928069+00,,1,1,1,0
1417,pg_catalog,pg_foreign_server,0,0,0,0,0,0,0,0,0,0,0,0,2021-01-26 14:22:33.944515+00,2021-01-27 15:05:59.656957+00,2021-01-26 14:22:15.92864+00,,1,1,1,0
2616,pg_catalog,pg_opclass,86,86,216645,406118,0,0,0,0,133,0,0,0,2021-01-26 14:22:33.945681+00,2021-01-27 15:05:59.136675+00,2021-01-26 14:22:15.975323+00,,1,1,1,0
13431,pg_toast,pg_toast_13428,0,0,0,0,0,0,0,0,0,0,0,0,2021-01-26 14:22:33.946332+00,2021-01-27 15:06:00.414979+00,,,1,1,0,0
2600,pg_catalog,pg_aggregate,0,0,2993,2993,0,0,0,0,141,0,0,0,2021-01-26 14:22:33.94608+00,2021-01-27 15:05:59.23798+00,2021-01-26 14:22:15.975194+00,,1,1,1,0
1247,pg_catalog,pg_type,0,0,343754,339218,24,18,2,18,609,0,0,0,2021-01-26 14:22:33.94418+00,2021-01-27 15:05:58.870824+00,2021-01-26 14:22:15.956727+00,,1,1,1,0
