oid,relname,relkind,table_len,tuple_count,tuple_len,tuple_percent,dead_tuple_count,dead_tuple_len,dead_tuple_percent,free_space,free_percent
16442,customer_i1,i,2210824192,60000000,1440000000,65.13,0,0,0,500524956,22.64
16458,customer_i2,i,4078075904,61360641,2917004144,71.53,169591,8100232,0.2,832451156,20.41
16440,district_i1,i,11206656,20000,320000,2.86,0,0,0,10654100,95.07
16447,item_i1,i,2260992,100000,1600000,70.77,0,0,0,227092,10.04
16444,new_order_i1,i,1288404992,20681802,496363248,38.53,1117207,26812968,2.08,665843288,51.68
16441,order_line_i1,i,44761833472,1177799059,29268750840,65.39,1530824,36739776,0.08,10089143384,22.54
16443,orders_i1,i,4508082176,118237712,2910533504,64.56,0,0,0,1063061956,23.58
16456,orders_i2,i,4505796608,119930772,2925872080,64.94,15858,380592,0.01,1037732920,23.03
16445,stock_i1,i,5443223552,200509010,3208193832,58.94,5521198,88350248,1.62,1260688836,23.16
16446,warehouse_i1,i,1040384,2000,32000,3.08,0,0,0,976020,93.81
16411,customer,r,43619065856,60000000,35135919708,80.55,6761992,4005056063,9.18,3723536772,8.54
16416,district,r,370434048,20000,2288497,0.62,0,0,0,353827224,95.52
16419,history,r,8586772480,107946651,7729895852,90.02,0,0,0,35785692,0.42
16422,item,r,10633216,100000,9785910,92.03,0,0,0,57644,0.54
16425,new_order,r,1450516480,19651863,668163342,46.06,2137892,72688328,5.01,436507292,30.09
16428,order_line,r,123970887680,1079588739,92086541292,74.28,118021481,10143539792,8.18,12003287736,9.68
16431,orders,r,7464665088,107961343,5574686110,74.68,6063990,303199500,4.06,463359304,6.21
16434,stock,r,83892764672,200000000,66181713386,78.89,16417796,5434749532,6.48,9932986364,11.84
16437,warehouse,r,180690944,2000,218093,0.12,0,0,0,173301600,95.91
