oid,relname,relkind,size,size_pretty
16411,customer,r,43499560960,41 GB
16441,customer_i1,i,2249842688,2146 MB
16458,customer_i2,i,4007034880,3821 MB
16416,district,r,639606784,610 MB
16442,district_i1,i,16302080,16 MB
16419,history,r,10243645440,9769 MB
16422,item,r,10665984,10 MB
16440,item_i1,i,2260992,2208 kB
16425,new_order,r,1047199744,999 MB
16443,new_order_i1,i,1097424896,1047 MB
16428,order_line,r,145914249216,136 GB
16445,order_line_i1,i,52120436736,49 GB
16431,orders,r,8296095744,7912 MB
16456,orders_i1,i,5037383680,4804 MB
16446,orders_i2,i,5017133056,4785 MB
16434,stock,r,82806333440,77 GB
16447,stock_i1,i,5487329280,5233 MB
16437,warehouse,r,29245440,28 MB
16444,warehouse_i1,i,1646592,1608 kB
