relid,schemaname,relname,seq_scan,seq_tup_read,idx_scan,idx_tup_fetch,n_tup_ins,n_tup_upd,n_tup_del,n_tup_hot_upd,n_live_tup,n_dead_tup,n_mod_since_analyze,n_ins_since_vacuum,last_vacuum,last_autovacuum,last_analyze,last_autoanalyze,vacuum_count,autovacuum_count,analyze_count,autoanalyze_count
4060,pg_toast,pg_toast_3592,0,0,0,0,0,0,0,0,0,0,0,0,2021-03-04 00:55:23.919104+00,,,,3,0,0,0
4159,pg_toast,pg_toast_2600,0,0,0,0,0,0,0,0,0,0,0,0,2021-03-04 00:55:23.931725+00,,,,1,0,0,0
4165,pg_toast,pg_toast_3350,0,0,0,0,0,0,0,0,0,0,0,0,2021-03-04 00:55:23.930817+00,,,,1,0,0,0
4147,pg_toast,pg_toast_3079,0,0,0,0,0,0,0,0,0,0,0,0,2021-03-04 00:55:23.930254+00,,,,1,0,0,0
2753,pg_catalog,pg_opfamily,0,0,0,0,0,0,0,0,113,0,0,0,2021-03-04 00:55:23.931567+00,,2021-03-04 00:55:10.088075+00,,1,0,1,0
4181,pg_toast,pg_toast_6000,0,0,0,0,0,0,0,0,0,0,0,0,2021-03-04 00:55:23.91912+00,,,,3,0,0,0
1247,pg_catalog,pg_type,0,0,1452,1402,24,18,2,18,619,0,0,0,2021-03-04 00:55:23.930346+00,,2021-03-04 00:55:10.087372+00,,1,0,1,0
13572,pg_toast,pg_toast_13569,0,0,0,0,0,0,0,0,0,0,0,0,2021-03-04 00:55:23.931946+00,,,,1,0,0,0
16431,public,orders,6,120000000,0,0,60000000,0,0,0,60000000,0,0,0,2021-03-04 00:55:34.937113+00,,2021-03-04 00:55:10.420416+00,,1,0,1,0
8888,pg_toast,pg_toast_2608,0,0,0,0,0,0,0,0,0,0,0,0,2021-03-04 00:55:23.9368+00,,,,1,0,0,0
3601,pg_catalog,pg_ts_parser,0,0,0,0,0,0,0,0,1,0,0,0,2021-03-04 00:55:23.931309+00,,2021-03-04 00:55:10.083676+00,,1,0,1,0
2602,pg_catalog,pg_amop,0,0,731,886,0,0,0,0,756,0,0,0,2021-03-04 00:55:23.931188+00,,2021-03-04 00:55:10.084305+00,,1,0,1,0
3439,pg_toast,pg_toast_3381,0,0,0,0,0,0,0,0,0,0,0,0,2021-03-04 00:55:23.931314+00,,,,1,0,0,0
6104,pg_catalog,pg_publication,0,0,0,0,0,0,0,0,0,0,0,0,2021-03-04 00:55:23.930207+00,,2021-03-04 00:55:10.080635+00,,1,0,1,0
3429,pg_catalog,pg_statistic_ext_data,0,0,0,0,0,0,0,0,0,0,0,0,2021-03-04 00:55:23.919347+00,,2021-03-04 00:55:10.081901+00,,1,0,1,0
2846,pg_toast,pg_toast_2396,0,0,0,0,0,0,0,0,0,0,0,0,2021-03-04 00:55:23.930329+00,,,,3,0,0,0
4145,pg_toast,pg_toast_3466,0,0,0,0,0,0,0,0,0,0,0,0,2021-03-04 00:55:23.930832+00,,,,1,0,0,0
2619,pg_catalog,pg_statistic,0,0,503,323,92,314,0,7,496,0,406,0,2021-03-04 00:55:23.931729+00,,,,1,0,0,0
13577,pg_toast,pg_toast_13574,0,0,0,0,0,0,0,0,0,0,0,0,2021-03-04 00:55:23.930895+00,,,,1,0,0,0
4155,pg_toast,pg_toast_3394,0,0,0,0,0,0,0,0,0,0,0,0,2021-03-04 00:55:23.930147+00,,,,1,0,0,0
3541,pg_catalog,pg_range,0,0,0,0,0,0,0,0,6,0,0,0,2021-03-04 00:55:23.93222+00,,2021-03-04 00:55:10.081862+00,,1,0,1,0
3602,pg_catalog,pg_ts_config,0,0,68,68,0,0,0,0,29,0,0,0,2021-03-04 00:55:23.93031+00,,2021-03-04 00:55:10.088239+00,,1,0,1,0
3381,pg_catalog,pg_statistic_ext,0,0,94,0,0,0,0,0,0,0,0,0,2021-03-04 00:55:23.930371+00,,2021-03-04 00:55:10.082484+00,,1,0,1,0
4175,pg_toast,pg_toast_1260,0,0,0,0,0,0,0,0,0,0,0,0,2021-03-04 00:55:23.930215+00,,,,3,0,0,0
6106,pg_catalog,pg_publication_rel,0,0,0,0,0,0,0,0,0,0,0,0,2021-03-04 00:55:23.930863+00,,2021-03-04 00:55:10.08058+00,,1,0,1,0
2605,pg_catalog,pg_cast,0,0,5033,448,0,0,0,0,230,0,0,0,2021-03-04 00:55:23.931874+00,,2021-03-04 00:55:10.08813+00,,1,0,1,0
4183,pg_toast,pg_toast_6100,0,0,0,0,0,0,0,0,0,0,0,0,2021-03-04 00:55:23.919114+00,,,,3,0,0,0
4171,pg_toast,pg_toast_1247,0,0,0,0,0,0,0,0,0,0,0,0,2021-03-04 00:55:23.931732+00,,,,1,0,0,0
2224,pg_catalog,pg_sequence,0,0,0,0,0,0,0,0,0,0,0,0,2021-03-04 00:55:23.929838+00,,2021-03-04 00:55:10.08058+00,,1,0,1,0
2611,pg_catalog,pg_inherits,0,0,1,0,0,0,0,0,0,0,0,0,2021-03-04 00:55:23.929763+00,,2021-03-04 00:55:10.081538+00,,1,0,1,0
2830,pg_toast,pg_toast_2604,0,0,0,0,0,0,0,0,0,0,0,0,2021-03-04 00:55:23.920404+00,,,,1,0,0,0
1417,pg_catalog,pg_foreign_server,0,0,0,0,0,0,0,0,0,0,0,0,2021-03-04 00:55:23.919753+00,,2021-03-04 00:55:10.082738+00,,1,0,1,0
1262,pg_catalog,pg_database,265,1012,2345,2343,1,0,0,0,4,0,0,0,2021-03-04 00:55:23.929053+00,,2021-03-04 00:55:10.083831+00,,3,0,3,0
3430,pg_toast,pg_toast_3429,0,0,0,0,0,0,0,0,0,0,0,0,2021-03-04 00:55:23.919909+00,,,,1,0,0,0
3501,pg_catalog,pg_enum,0,0,0,0,0,0,0,0,0,0,0,0,2021-03-04 00:55:23.92009+00,,2021-03-04 00:55:10.081852+00,,1,0,1,0
16414,pg_toast,pg_toast_16411,1,0,0,0,0,0,0,0,0,0,0,0,2021-03-04 01:04:21.287297+00,,,,1,0,0,0
16419,public,history,0,0,,,60000000,0,0,0,60000000,0,0,0,2021-03-04 00:56:55.407867+00,,2021-03-04 00:55:23.367786+00,,1,0,1,0
2607,pg_catalog,pg_conversion,0,0,0,0,0,0,0,0,128,0,0,0,2021-03-04 00:55:23.932718+00,,2021-03-04 00:55:10.084509+00,,1,0,1,0
3576,pg_catalog,pg_transform,0,0,13,0,0,0,0,0,0,0,0,0,2021-03-04 00:55:23.930279+00,,2021-03-04 00:55:10.081718+00,,1,0,1,0
