oid,relname,relkind,table_len,tuple_count,tuple_len,tuple_percent,dead_tuple_count,dead_tuple_len,dead_tuple_percent,free_space,free_percent
16446,customer_i1,i,1892573184,60000000,1440000000,76.09,0,0,0,186676180,9.86
16448,customer_i2,i,3494797312,60000000,2850366152,81.56,0,0,0,340412844,9.74
16450,district_i1,i,466944,20000,320000,68.53,0,0,0,47060,10.08
16452,item_i1,i,2260992,100000,1600000,70.77,0,0,0,227092,10.04
16454,new_order_i1,i,567779328,18000000,432000000,76.09,0,0,0,56009460,9.86
16456,order_line_i1,i,18924281856,599963527,14399124648,76.09,0,0,0,1866555272,9.86
16458,orders_i1,i,1892573184,60000000,1440000000,76.09,0,0,0,186676180,9.86
16460,orders_i2,i,1892573184,60000000,1440000000,76.09,0,0,0,186676180,9.86
16462,stock_i1,i,4492353536,200000000,3200000000,71.23,0,0,0,441537492,9.83
16464,warehouse_i1,i,65536,2000,32000,48.83,0,0,0,8788,13.41
16417,customer,r,36458881024,60000000,34888782964,95.69,0,0,0,996402608,2.73
16422,district,r,2457600,20000,2279777,92.76,0,0,0,19300,0.79
16425,history,r,4818001920,60000000,4320005366,89.66,0,0,0,20151236,0.42
16428,item,r,10633216,100000,9785910,92.03,0,0,0,57644,0.54
16431,new_order,r,797065216,18000000,612000000,76.78,0,0,0,2340872,0.29
16434,order_line,r,55851155456,599963527,50860889960,91.07,0,0,0,463613468,0.83
16437,orders,r,3614121984,60000000,3084000000,85.33,0,0,0,1769028,0.05
16440,stock,r,68359208960,200000000,66181713386,96.81,0,0,0,464937952,0.68
16443,warehouse,r,237568,2000,216349,91.07,0,0,0,5312,2.24
