relid,schemaname,relname,seq_scan,seq_tup_read,idx_scan,idx_tup_fetch,n_tup_ins,n_tup_upd,n_tup_del,n_tup_hot_upd,n_live_tup,n_dead_tup,n_mod_since_analyze,n_ins_since_vacuum,last_vacuum,last_autovacuum,last_analyze,last_autoanalyze,vacuum_count,autovacuum_count,analyze_count,autoanalyze_count
3118,pg_catalog,pg_foreign_table,0,0,0,0,0,0,0,0,0,0,0,0,2021-04-12 22:17:13.774514+00,2021-04-15 07:21:07.717623+00,2021-04-12 22:17:00.632078+00,,1,1,1,0
1259,pg_catalog,pg_class,10030,388635,1457340,1452724,25,20,2,20,420,0,0,0,2021-04-12 22:17:13.626977+00,2021-04-15 07:21:07.819252+00,2021-04-12 22:17:00.487825+00,,1,1,1,0
2966,pg_toast,pg_toast_2964,0,0,0,0,0,0,0,0,0,0,0,0,2021-04-12 22:17:13.809416+00,2021-04-15 07:21:08.741576+00,,,3,3,0,0
3350,pg_catalog,pg_partitioned_table,0,0,0,0,0,0,0,0,0,0,0,0,2021-04-12 22:17:13.741129+00,2021-04-15 07:21:08.416787+00,2021-04-12 22:17:00.634586+00,,1,1,1,0
2618,pg_catalog,pg_rewrite,0,0,29,21,4,0,2,0,142,0,0,0,2021-04-12 22:17:13.631013+00,2021-04-15 07:21:08.017946+00,2021-04-12 22:17:00.486138+00,,1,1,1,0
4153,pg_toast,pg_toast_3118,0,0,0,0,0,0,0,0,0,0,0,0,2021-04-12 22:17:13.775207+00,2021-04-15 07:21:08.838761+00,,,1,1,0,0
4177,pg_toast,pg_toast_1262,0,0,0,0,0,0,0,0,0,0,0,0,2021-04-12 22:17:13.720553+00,2021-04-15 07:21:08.731163+00,,,3,3,0,0
4060,pg_toast,pg_toast_3592,0,0,0,0,0,0,0,0,0,0,0,0,2021-04-12 22:17:13.847072+00,2021-04-15 07:21:08.905358+00,,,3,3,0,0
4159,pg_toast,pg_toast_2600,0,0,0,0,0,0,0,0,0,0,0,0,2021-04-12 22:17:13.669225+00,2021-04-15 07:21:08.630894+00,,,1,1,0,0
4165,pg_toast,pg_toast_3350,0,0,0,0,0,0,0,0,0,0,0,0,2021-04-12 22:17:13.741784+00,2021-04-15 07:21:08.917662+00,,,1,1,0,0
4147,pg_toast,pg_toast_3079,0,0,0,0,0,0,0,0,0,0,0,0,2021-04-12 22:17:13.715288+00,2021-04-15 07:21:08.795395+00,,,1,1,0,0
2753,pg_catalog,pg_opfamily,0,0,0,0,0,0,0,0,146,0,0,0,2021-04-12 22:17:13.666836+00,2021-04-15 07:21:07.899994+00,2021-04-12 22:17:00.520548+00,,1,1,1,0
4181,pg_toast,pg_toast_6000,0,0,0,0,0,0,0,0,0,0,0,0,2021-04-12 22:17:13.828576+00,2021-04-15 07:21:08.860502+00,,,3,3,0,0
1247,pg_catalog,pg_type,0,0,90667,86109,26,18,4,18,625,0,0,0,2021-04-12 22:17:13.619611+00,2021-04-15 07:21:07.706533+00,2021-04-12 22:17:00.482357+00,,1,1,1,0
16431,public,new_order,4,36000000,111494520,111369202,73743974,0,54147450,0,19575567,3341883,1817651,1117887,2021-04-12 22:17:15.804481+00,2021-04-15 07:34:22.304659+00,2021-04-12 22:17:00.726466+00,2021-04-15 07:34:38.370658+00,1,11,1,21
8888,pg_toast,pg_toast_2608,0,0,0,0,0,0,0,0,0,0,0,0,2021-04-12 22:17:13.608024+00,2021-04-15 07:21:08.720761+00,,,1,1,0,0
3601,pg_catalog,pg_ts_parser,0,0,0,0,0,0,0,0,1,0,0,0,2021-04-12 22:17:13.708784+00,2021-04-15 07:21:08.24063+00,2021-04-12 22:17:00.557772+00,,1,1,1,0
2602,pg_catalog,pg_amop,0,0,53782,70802,0,0,0,0,945,0,0,0,2021-04-12 22:17:13.638936+00,2021-04-15 07:21:07.93959+00,2021-04-12 22:17:00.497227+00,,1,1,1,0
3439,pg_toast,pg_toast_3381,0,0,0,0,0,0,0,0,0,0,0,0,2021-04-12 22:17:13.783634+00,2021-04-15 07:21:08.641895+00,,,1,1,0,0
6104,pg_catalog,pg_publication,0,0,0,0,0,0,0,0,0,0,0,0,2021-04-12 22:17:13.756455+00,2021-04-15 07:21:08.465511+00,2021-04-12 22:17:00.582055+00,,1,1,1,0
3429,pg_catalog,pg_statistic_ext_data,0,0,0,0,0,0,0,0,0,0,0,0,2021-04-12 22:17:13.839562+00,2021-04-15 07:21:07.739286+00,2021-04-12 22:17:00.580792+00,,1,1,1,0
2846,pg_toast,pg_toast_2396,0,0,0,0,0,0,0,0,0,0,0,0,2021-04-12 22:17:13.68558+00,2021-04-15 07:21:08.773283+00,,,3,3,0,0
4145,pg_toast,pg_toast_3466,0,0,0,0,0,0,0,0,0,0,0,0,2021-04-12 22:17:13.791195+00,2021-04-15 07:21:08.688096+00,,,1,1,0,0
2619,pg_catalog,pg_statistic,0,0,676533,676352,92,4192,0,2708,504,116,4284,0,2021-04-12 22:17:13.615646+00,2021-04-15 07:32:44.328858+00,,,1,19,0,0
16420,pg_toast,pg_toast_16417,1,0,0,0,0,0,0,0,0,0,0,0,2021-04-12 22:25:29.197036+00,2021-04-15 07:21:08.56423+00,,,1,1,0,0
4155,pg_toast,pg_toast_3394,0,0,0,0,0,0,0,0,0,0,0,0,2021-04-12 22:17:13.654288+00,2021-04-15 07:21:08.884087+00,,,1,1,0,0
3541,pg_catalog,pg_range,0,0,994,0,0,0,0,0,6,0,0,0,2021-04-12 22:17:13.701135+00,2021-04-15 07:21:08.430508+00,2021-04-12 22:17:00.527434+00,,1,1,1,0
14573,information_schema,sql_implementation_info,0,0,,,0,0,0,0,12,0,0,0,2021-04-12 22:17:13.728998+00,2021-04-15 07:21:08.525849+00,2021-04-12 22:17:00.568795+00,,1,1,1,0
16443,public,warehouse,2,4000,111543913,111545248,2000,55779939,0,54907664,2000,48,44,0,2021-04-12 22:17:13.611891+00,2021-04-15 07:35:50.03271+00,2021-04-12 22:17:00.478158+00,2021-04-15 07:35:50.065958+00,1,165,1,166
3602,pg_catalog,pg_ts_config,0,0,33332,33332,0,0,0,0,29,0,0,0,2021-04-12 22:17:13.68876+00,2021-04-15 07:21:08.199994+00,2021-04-12 22:17:00.552529+00,,1,1,1,0
3381,pg_catalog,pg_statistic_ext,0,0,303305,0,0,0,0,0,0,0,0,0,2021-04-12 22:17:13.782944+00,2021-04-15 07:21:08.003174+00,2021-04-12 22:17:00.604027+00,,1,1,1,0
4175,pg_toast,pg_toast_1260,0,0,0,0,0,0,0,0,0,0,0,0,2021-04-12 22:17:13.692254+00,2021-04-15 07:21:08.762746+00,,,3,3,0,0
6106,pg_catalog,pg_publication_rel,0,0,0,0,0,0,0,0,0,0,0,0,2021-04-12 22:17:13.761665+00,2021-04-15 07:21:08.477149+00,2021-04-12 22:17:00.584349+00,,1,1,1,0
2605,pg_catalog,pg_cast,0,0,110363,22233,0,0,0,0,230,0,0,0,2021-04-12 22:17:13.661921+00,2021-04-15 07:21:08.06833+00,2021-04-12 22:17:00.515087+00,,1,1,1,0
4183,pg_toast,pg_toast_6100,0,0,0,0,0,0,0,0,0,0,0,0,2021-04-12 22:17:13.804256+00,2021-04-15 07:21:08.928317+00,,,3,3,0,0
4171,pg_toast,pg_toast_1247,0,0,0,0,0,0,0,0,0,0,0,0,2021-04-12 22:17:13.62011+00,2021-04-15 07:21:08.586745+00,,,1,1,0,0
2224,pg_catalog,pg_sequence,0,0,0,0,0,0,0,0,0,0,0,0,2021-04-12 22:17:13.750963+00,2021-04-15 07:21:08.453886+00,2021-04-12 22:17:00.577211+00,,1,1,1,0
2611,pg_catalog,pg_inherits,0,0,2,0,0,0,0,0,0,0,0,0,2021-04-12 22:17:13.79553+00,2021-04-15 07:21:07.858765+00,2021-04-12 22:17:00.606128+00,,1,1,1,0
2830,pg_toast,pg_toast_2604,0,0,0,0,0,0,0,0,0,0,0,0,2021-04-12 22:17:13.800672+00,2021-04-15 07:21:08.59774+00,,,1,1,0,0
1417,pg_catalog,pg_foreign_server,0,0,0,0,0,0,0,0,0,0,0,0,2021-04-12 22:17:13.821175+00,2021-04-15 07:21:08.311732+00,2021-04-12 22:17:00.594393+00,,1,1,1,0
1262,pg_catalog,pg_database,1184,3938,31699,31697,1,0,0,0,4,0,0,0,2021-04-12 22:17:13.720421+00,2021-04-15 07:21:08.136114+00,2021-04-12 22:17:00.536882+00,,3,3,3,0
3430,pg_toast,pg_toast_3429,0,0,0,0,0,0,0,0,0,0,0,0,2021-04-12 22:17:13.840164+00,2021-04-15 07:21:08.652755+00,,,1,1,0,0
3501,pg_catalog,pg_enum,0,0,0,0,0,0,0,0,0,0,0,0,2021-04-12 22:17:13.802597+00,2021-04-15 07:21:08.080186+00,2021-04-12 22:17:00.61799+00,,1,1,1,0
2607,pg_catalog,pg_conversion,0,0,0,0,0,0,0,0,128,0,0,0,2021-04-12 22:17:13.674271+00,2021-04-15 07:21:08.106304+00,2021-04-12 22:17:00.525712+00,,1,1,1,0
14568,information_schema,sql_features,0,0,,,0,0,0,0,713,0,0,0,2021-04-12 22:17:13.636055+00,2021-04-15 07:21:08.513137+00,2021-04-12 22:17:00.496516+00,,1,1,1,0
3576,pg_catalog,pg_transform,0,0,23,0,0,0,0,0,0,0,0,0,2021-04-12 22:17:13.746392+00,2021-04-15 07:21:08.442385+00,2021-04-12 22:17:00.639094+00,,1,1,1,0
826,pg_catalog,pg_default_acl,0,0,8,0,0,0,0,0,0,0,0,0,2021-04-12 22:17:13.833854+00,2021-04-15 07:21:08.344811+00,2021-04-12 22:17:00.601452+00,,1,1,1,0
