oid,relname,version,tree_level,index_size,root_block_no,internal_pages,leaf_pages,empty_pages,deleted_pages,avg_leaf_density,leaf_fragmentation
16446,customer_i1,4,3,2148876288,41827,1251,261062,0,0,81.06,11.94
16448,customer_i2,4,3,4022910976,16948,3808,487269,0,0,80,13.12
16450,district_i1,4,2,7372800,412,4,895,0,0,5.78,50.17
16452,item_i1,4,1,2260992,3,1,274,0,0,89.83,0
16454,new_order_i1,4,3,1040506880,42442,669,86720,0,39625,85.16,6.59
16456,order_line_i1,4,3,47875866624,41827,34261,5809960,0,0,79.64,22.88
16458,orders_i1,4,3,4739710976,41827,2875,575702,0,0,70.87,22.07
16460,orders_i2,4,3,4976287744,41827,3090,604366,0,0,67.71,35.26
16462,stock_i1,4,3,5442633728,81517,2380,662003,0,0,74.42,17.46
16464,warehouse_i1,4,1,1531904,3,1,183,0,2,2.98,49.18
