relid,schemaname,relname,seq_scan,seq_tup_read,idx_scan,idx_tup_fetch,n_tup_ins,n_tup_upd,n_tup_del,n_tup_hot_upd,n_live_tup,n_dead_tup,n_mod_since_analyze,n_ins_since_vacuum,last_vacuum,last_autovacuum,last_analyze,last_autoanalyze,vacuum_count,autovacuum_count,analyze_count,autoanalyze_count
3118,pg_catalog,pg_foreign_table,0,0,0,0,0,0,0,0,0,0,0,0,2021-04-19 07:42:57.974358+00,,2021-04-19 07:42:45.251741+00,,1,0,1,0
1259,pg_catalog,pg_class,693,59353,8018,7922,25,20,2,20,420,0,0,0,2021-04-19 07:42:57.839384+00,,2021-04-19 07:42:45.111138+00,,1,0,1,0
2966,pg_toast,pg_toast_2964,0,0,0,0,0,0,0,0,0,0,0,0,2021-04-19 07:42:58.004246+00,,,,3,0,0,0
3350,pg_catalog,pg_partitioned_table,0,0,0,0,0,0,0,0,0,0,0,0,2021-04-19 07:42:57.946282+00,,2021-04-19 07:42:45.254254+00,,1,0,1,0
2618,pg_catalog,pg_rewrite,0,0,22,12,4,0,2,0,142,0,0,0,2021-04-19 07:42:57.842702+00,,2021-04-19 07:42:45.10756+00,,1,0,1,0
4153,pg_toast,pg_toast_3118,0,0,0,0,0,0,0,0,0,0,0,0,2021-04-19 07:42:57.975008+00,,,,1,0,0,0
4177,pg_toast,pg_toast_1262,0,0,0,0,0,0,0,0,0,0,0,0,2021-04-19 07:42:57.92755+00,,,,3,0,0,0
4060,pg_toast,pg_toast_3592,0,0,0,0,0,0,0,0,0,0,0,0,2021-04-19 07:42:58.039565+00,,,,3,0,0,0
4159,pg_toast,pg_toast_2600,0,0,0,0,0,0,0,0,0,0,0,0,2021-04-19 07:42:57.881026+00,,,,1,0,0,0
4165,pg_toast,pg_toast_3350,0,0,0,0,0,0,0,0,0,0,0,0,2021-04-19 07:42:57.94704+00,,,,1,0,0,0
4147,pg_toast,pg_toast_3079,0,0,0,0,0,0,0,0,0,0,0,0,2021-04-19 07:42:57.923282+00,,,,1,0,0,0
2753,pg_catalog,pg_opfamily,0,0,0,0,0,0,0,0,146,0,0,0,2021-04-19 07:42:57.876897+00,,2021-04-19 07:42:45.141378+00,,1,0,1,0
4181,pg_toast,pg_toast_6000,0,0,0,0,0,0,0,0,0,0,0,0,2021-04-19 07:42:58.023122+00,,,,3,0,0,0
1247,pg_catalog,pg_type,0,0,1828,1774,26,18,4,18,625,0,0,0,2021-04-19 07:42:57.832064+00,,2021-04-19 07:42:45.106514+00,,1,0,1,0
16431,public,new_order,3,18000000,0,0,18000000,0,0,0,18000000,0,0,0,2021-04-19 07:42:59.816367+00,,2021-04-19 07:42:45.352718+00,,1,0,1,0
8888,pg_toast,pg_toast_2608,0,0,0,0,0,0,0,0,0,0,0,0,2021-04-19 07:42:57.820214+00,,,,1,0,0,0
3601,pg_catalog,pg_ts_parser,0,0,0,0,0,0,0,0,1,0,0,0,2021-04-19 07:42:57.919348+00,,2021-04-19 07:42:45.177678+00,,1,0,1,0
