oid,relname,relkind,size,size_pretty
16406,customer,r,36468989952,34 GB
16436,customer_i1,i,1892573184,1805 MB
16438,customer_i2,i,3494797312,3333 MB
16412,district,r,2490368,2432 kB
16440,district_i1,i,466944,456 kB
16415,history,r,4819361792,4596 MB
16418,item,r,10665984,10 MB
16442,item_i1,i,2260992,2208 kB
16421,new_order,r,797302784,760 MB
16444,new_order_i1,i,567779328,541 MB
16424,order_line,r,55866613760,52 GB
16446,order_line_i1,i,18924281856,18 GB
16427,orders,r,3615145984,3448 MB
16448,orders_i1,i,1892573184,1805 MB
16450,orders_i2,i,1892573184,1805 MB
16430,stock,r,68378124288,64 GB
16452,stock_i1,i,4492353536,4284 MB
16433,warehouse,r,270336,264 kB
16454,warehouse_i1,i,65536,64 kB
