oid,relname,version,tree_level,index_size,root_block_no,internal_pages,leaf_pages,empty_pages,deleted_pages,avg_leaf_density,leaf_fragmentation
16436,customer_i1,4,3,1892573184,41827,1140,229886,0,0,90.49,0
16438,customer_i2,4,3,3501998080,16948,3280,424209,0,0,90.39,0.21
16440,district_i1,4,1,753664,3,1,90,0,0,54.83,36.67
16442,item_i1,4,1,2260992,3,1,274,0,0,89.83,0
16444,new_order_i1,4,3,817725440,42442,433,79415,0,19971,89.48,0.75
16446,order_line_i1,4,3,45838516224,41827,33585,5561936,0,0,75.36,19.71
16448,orders_i1,4,3,3864248320,41827,2611,469098,0,0,86.83,4.56
16450,orders_i2,4,3,4392517632,41827,2603,533592,0,0,76.59,30.29
16452,stock_i1,4,3,4602560512,81517,1982,559853,0,0,88.06,2.39
16454,warehouse_i1,4,1,106496,3,1,11,0,0,44.88,45.45
