oid,relname,relkind,table_len,tuple_count,tuple_len,tuple_percent,dead_tuple_count,dead_tuple_len,dead_tuple_percent,free_space,free_percent
16436,customer_i1,i,1892573184,60279504,1446708096,76.44,23388,561312,0.03,178195204,9.42
16438,customer_i2,i,3501998080,60290190,2864186872,81.79,7639,365448,0.01,332156952,9.48
16440,district_i1,i,753664,20000,320000,42.46,8,128,0.02,331380,43.97
16442,item_i1,i,2260992,100000,1600000,70.77,0,0,0,227092,10.04
16444,new_order_i1,i,817725440,18078039,433872936,53.06,2519695,60472680,7.4,231721916,28.34
16446,order_line_i1,i,45838516224,1197169462,29172404080,63.64,1083931,26014344,0.06,11171509000,24.37
16448,orders_i1,i,3864248320,117552689,2835132616,73.37,0,0,0,503738172,13.04
16450,orders_i2,i,4392517632,118323710,2841281216,64.68,483,11592,0,1018180876,23.18
16452,stock_i1,i,4602560512,200257591,3204121456,69.62,24860,397760,0.01,544836184,11.84
16454,warehouse_i1,i,106496,2000,32000,30.05,0,0,0,49428,46.41
16406,customer,r,39464591360,60000000,35006809127,88.7,1215058,723314930,1.83,3104992792,7.87
16412,district,r,9625600,20000,2281737,23.7,2437,289586,3.01,6597616,68.54
16415,history,r,9212755968,116104562,8295217208,90.04,0,0,0,37195192,0.4
16418,item,r,10633216,100000,9785910,92.03,0,0,0,57644,0.54
16421,new_order,r,981401600,18077359,614630206,62.63,2560337,87051458,8.87,63328380,6.45
16424,order_line,r,115179298816,1160931062,99078732932,86.02,39020971,3353789990,2.91,2699834956,2.34
16427,orders,r,7276060672,116093426,6000703434,82.47,280102,14005100,0.19,51939544,0.71
16430,stock,r,71021191168,200000000,66181713386,93.19,1263395,418059917,0.59,2622606640,3.69
16433,warehouse,r,1220608,2000,216545,17.74,0,0,0,948188,77.68
