oid,relname,relkind,size,size_pretty
16406,customer,r,39475519488,37 GB
16436,customer_i1,i,1892573184,1805 MB
16438,customer_i2,i,3501998080,3340 MB
16412,district,r,9658368,9432 kB
16440,district_i1,i,753664,736 kB
16415,history,r,9215311872,8788 MB
16418,item,r,10665984,10 MB
16442,item_i1,i,2260992,2208 kB
16421,new_order,r,981696512,936 MB
16444,new_order_i1,i,817946624,780 MB
16424,order_line,r,115210584064,107 GB
16446,order_line_i1,i,45838516224,43 GB
16427,orders,r,7278051328,6941 MB
16448,orders_i1,i,3864248320,3685 MB
16450,orders_i2,i,4392517632,4189 MB
16430,stock,r,71040835584,66 GB
16452,stock_i1,i,4602560512,4389 MB
16433,warehouse,r,12853248,12 MB
16454,warehouse_i1,i,106496,104 kB
