userid,dbid,queryid,query,plans,total_plan_time,min_plan_time,max_plan_time,mean_plan_time,stddev_plan_time,calls,total_exec_time,min_exec_time,max_exec_time,mean_exec_time,stddev_exec_time,rows,shared_blks_hit,shared_blks_read,shared_blks_dirtied,shared_blks_written,local_blks_hit,local_blks_read,local_blks_dirtied,local_blks_written,temp_blks_read,temp_blks_written,blk_read_time,blk_write_time,wal_records,wal_fpi,wal_bytes
10,16385,-6766677562622511123,COPY (SELECT * FROM pg_stat_statements) TO stdout WITH CSV HEADER,0,0,0,0,0,0,1,2.763177,2.763177,2.763177,2.763177,0,5,78,7,0,0,0,0,0,0,0,0,0,0,0,0,0
16384,16385,8565261146337466192,"prepare payment (INTEGER, INTEGER, INTEGER, INTEGER, NUMERIC, INTEGER, NUMERIC, VARCHAR) AS select payment($1,$2,$3,$4,$5,$6,$7,$8,$9,$10)",0,0,0,0,0,0,51719086,192360218.66684556,0.10147199999999999,4110.976571,3.7193274967524617,8.729433441646643,51719086,3705104419,17130489,22173691,12218014,0,0,0,0,0,0,0,0,265441727,14354688,120351349075
10,16385,-8063160503150200351,CREATE EXTENSION IF NOT EXISTS pg_stat_statements,0,0,0,0,0,0,1,0.839155,0.839155,0.839155,0.839155,0,0,17,4,0,0,0,0,0,0,0,0,0,0,0,0,0
10,16385,-1082902001138288950,"copy (select now(), sum(d_next_o_id) from district) to stdout",0,0,0,0,0,0,146,53543.56493,2.14517,3069.0109860000002,366.73674609589045,485.5363308219317,146,8693398,632,0,150,0,0,0,0,0,0,0,0,1589,115,366258
10,16385,-1223765790011969516,"COPY (SELECT c.oid, c.relname, c.relkind, st.* FROM pg_class AS c, pgstattuple(c.oid::regclass) AS st WHERE c.relnamespace = (SELECT oid FROM pg_namespace WHERE nspname = 'public') AND relkind IN ('r', 'i') ORDER BY relkind, relname) TO stdout WITH CSV HEADER",0,0,0,0,0,0,1,720453.326171,720453.326171,720453.326171,720453.326171,0,19,20742081,24788691,0,0,0,0,0,0,0,0,0,0,6,0,352
10,16385,-8610820246424350903,CREATE EXTENSION IF NOT EXISTS pgstattuple,0,0,0,0,0,0,1,21.021909,21.021909,21.021909,21.021909,0,0,1528,65,42,3,0,0,0,0,0,0,0,0,224,34,76869
16384,16385,-740742010131040117,"prepare neword (INTEGER, INTEGER, INTEGER, INTEGER, INTEGER) as select neword($1,$2,$3,$4,$5,$6)",0,0,0,0,0,0,51731967,1203979994.0321724,0.32678999999999997,10263.770941,23.27342383931791,34.25857676425705,51731967,11466896002,45446516,99087310,39462211,0,0,0,0,0,0,0,0,2168600984,77201015,763176430289
10,16385,-1368367109486112334,"COPY (SELECT oid, datname, pg_database_size(oid) AS size, pg_size_pretty(pg_database_size(oid)) AS size_pretty FROM pg_database ORDER BY datname) TO stdout WITH CSV HEADER",0,0,0,0,0,0,1,4.049707,4.049707,4.049707,4.049707,0,4,165,6,0,0,0,0,0,0,0,0,0,0,0,0,0
16384,16385,4194795864480504898,select sum(d_next_o_id) from district,0,0,0,0,0,0,2,1049.658299,38.906492,1010.7518069999999,524.8291495,485.92265749999996,2,124161,0,0,0,0,0,0,0,0,0,0,0,12,0,1450
16384,16385,-244390331813337068,select max(d_id) from district,0,0,0,0,0,0,500,2640.365448000001,1.5926829999999998,212.927687,5.280730896000005,10.429891665117752,500,195556,1,0,0,0,0,0,0,0,0,0,0,31195,0,2142458
10,16385,7239828280932003960,"COPY (SELECT oid, relname, relkind, pg_table_size(oid) AS size, pg_size_pretty(pg_table_size(oid)) AS size_pretty FROM pg_class WHERE relnamespace = (SELECT oid FROM pg_namespace WHERE nspname = 'public') AND relkind IN ('r', 'i') ORDER BY relname) TO stdout WITH CSV HEADER",0,0,0,0,0,0,1,5.075852,5.075852,5.075852,5.075852,0,19,603,12,0,0,0,0,0,0,0,0,0,0,0,0,0
16384,16385,-3535700428539664619,select sum(xact_commit + xact_rollback) from pg_stat_database,0,0,0,0,0,0,2,20.651477,10.31743,10.334047,10.3257385,0.008308500000000052,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,16385,8565171400252749021,COPY (SELECT sum(size) AS wal_size FROM pg_ls_waldir()) TO stdout WITH CSV HEADER,0,0,0,0,0,0,1,6.066859,6.066859,6.066859,6.066859,0,1,43,3,0,0,0,0,0,0,0,0,0,0,0,0,0
16384,16385,-8745247502186204514,"prepare ostat (INTEGER, INTEGER, INTEGER, INTEGER, VARCHAR) AS select * from ostat($1,$2,$3,$4,$5) as (ol_i_id integer,  ol_supply_w_id integer, ol_quantity smallint, ol_amount NUMERIC, ol_delivery_d TIMESTAMPtz,  out_os_c_id INTEGER, out_os_c_last VARCHAR, os_c_first VARCHAR, os_c_middle VARCHAR, os_c_balance NUMERIC, os_o_id INTEGER, os_entdate TIMESTAMPtz, os_o_carrier_id INTEGER)",0,0,0,0,0,0,5171931,18742793.134576913,0.050205,3300.1184829999997,3.623944931704926,14.30120381102641,18086518,60504144,3911661,1711043,2477148,0,0,0,0,0,0,0,0,3230499,1257291,5528863004
16384,16385,-7388155824636550366,"prepare slev (INTEGER, INTEGER, INTEGER) AS select slev($1,$2,$3)",0,0,0,0,0,0,5168011,1050218640.4432352,0.49217200000000005,278305.832543,203.2152486601226,1840.0965472918645,5168011,96390026276,61079975,9988647,16997514,0,0,0,0,0,0,0,0,162472437,7249815,53927539208
16384,16385,5616180274698321996,set CLIENT_MIN_MESSAGES TO 'ERROR',0,0,0,0,0,0,501,1.777969,0.001354,0.199264,0.0035488403193612737,0.008949665109450097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16384,16385,-6783434085329012012,select max(w_id) from warehouse,0,0,0,0,0,0,500,19.009097000000004,0.024243,0.517456,0.038018194000000026,0.03838238144868505,500,1989,1,0,0,0,0,0,0,0,0,0,0,15,0,1696
16384,16385,431293040050433973,set client_encoding to 'UTF8',0,0,0,0,0,0,501,5.581254000000003,0.005711,0.521363,0.011140227544910166,0.02305388341436543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,13434,5470398651945588767,"copy (select now(), * from pg_stat_activity) to stdout",0,0,0,0,0,0,146,1365.1803850000001,1.443747,183.746812,9.350550582191776,18.216649746015595,66417,36128,1384,0,602,0,0,0,0,0,0,0,0,0,0,0
10,16385,9123510028664027085,CREATE EXTENSION IF NOT EXISTS pg_prewarm,0,0,0,0,0,0,1,8.245254,8.245254,8.245254,8.245254,0,0,366,1,1,0,0,0,0,0,0,0,0,0,36,1,6214
10,16385,8791746904918487037,"COPY (SELECT c.oid, c.relname, st.* FROM pg_class AS c, pgstatindex(c.oid::regclass) AS st WHERE c.relnamespace = (SELECT oid FROM pg_namespace WHERE nspname = 'public') AND relkind = 'i' ORDER BY relname) TO stdout WITH CSV HEADER",0,0,0,0,0,0,1,8631.752028,8631.752028,8631.752028,8631.752028,0,10,779,4047522,0,0,0,0,0,0,0,0,0,0,3,0,178
10,16385,-1712481118449147880,COPY (SELECT * FROM pg_stat_all_indexes) TO stdout WITH CSV HEADER,0,0,0,0,0,0,2,7.334476,3.39597,3.938506,3.667238,0.27126799999999973,330,2910,8,0,0,0,0,0,0,0,0,0,0,0,0,0
