oid,relname,relkind,table_len,tuple_count,tuple_len,tuple_percent,dead_tuple_count,dead_tuple_len,dead_tuple_percent,free_space,free_percent
16436,customer_i1,i,1892573184,60316633,1447599192,76.49,34581,829944,0.04,176842188,9.34
16438,customer_i2,i,3534741504,60336662,2866386936,81.09,11582,551512,0.02,361932364,10.24
16440,district_i1,i,794624,20191,323056,40.66,944,15104,1.9,349480,43.98
16442,item_i1,i,2260992,100000,1600000,70.77,0,0,0,227092,10.04
16444,new_order_i1,i,820428800,18034369,432824856,52.76,550380,13209120,1.61,291278104,35.5
16446,order_line_i1,i,46471127040,1208809943,29438829960,63.35,1123658,26967792,0.06,11479431168,24.7
16448,orders_i1,i,4020477952,118711259,2866603624,71.3,0,0,0,621717832,15.46
16450,orders_i2,i,4452409344,119673055,2874262248,64.56,684,16416,0,1038845828,23.33
16452,stock_i1,i,4604862464,200286882,3204590112,69.59,86781,1388496,0.03,545230888,11.84
16454,warehouse_i1,i,106496,2000,32000,30.05,0,0,0,49428,46.41
16406,customer,r,39595319296,60000000,35009083409,88.42,1394440,829378277,2.09,3124591016,7.89
16412,district,r,36651008,20000,2281777,6.23,1239,145936,0.4,32750748,89.36
16415,history,r,9307340800,117040275,8380706577,90.04,0,0,0,37417580,0.4
16418,item,r,10633216,100000,9785910,92.03,0,0,0,57644,0.54
16421,new_order,r,976486400,18033019,613122646,62.79,536111,18227774,1.87,141875516,14.53
16424,order_line,r,116175462400,1170369461,99889984626,85.98,39698538,3412019988,2.94,2751811420,2.37
16427,orders,r,7351828480,117038875,6049955462,82.29,308166,15408300,0.21,69041352,0.94
16430,stock,r,71259594752,200000000,66181713386,92.87,2065768,683305365,0.96,2586393564,3.63
16433,warehouse,r,811008,2000,216549,26.7,0,0,0,554992,68.43
