oid,relname,relkind,size,size_pretty
16406,customer,r,39606288384,37 GB
16436,customer_i1,i,1892573184,1805 MB
16438,customer_i2,i,3534741504,3371 MB
16412,district,r,36691968,35 MB
16440,district_i1,i,794624,776 kB
16415,history,r,9309921280,8879 MB
16418,item,r,10665984,10 MB
16442,item_i1,i,2260992,2208 kB
16421,new_order,r,976781312,932 MB
16444,new_order_i1,i,820649984,783 MB
16424,order_line,r,116207026176,108 GB
16446,order_line_i1,i,46471127040,43 GB
16427,orders,r,7353835520,7013 MB
16448,orders_i1,i,4020477952,3834 MB
16450,orders_i2,i,4452409344,4246 MB
16430,stock,r,71279304704,66 GB
16452,stock_i1,i,4604862464,4392 MB
16433,warehouse,r,843776,824 kB
16454,warehouse_i1,i,106496,104 kB
