userid,dbid,queryid,query,plans,total_plan_time,min_plan_time,max_plan_time,mean_plan_time,stddev_plan_time,calls,total_exec_time,min_exec_time,max_exec_time,mean_exec_time,stddev_exec_time,rows,shared_blks_hit,shared_blks_read,shared_blks_dirtied,shared_blks_written,local_blks_hit,local_blks_read,local_blks_dirtied,local_blks_written,temp_blks_read,temp_blks_written,blk_read_time,blk_write_time,wal_records,wal_fpi,wal_bytes
10,16385,-6766677562622511123,COPY (SELECT * FROM pg_stat_statements) TO stdout WITH CSV HEADER,0,0,0,0,0,0,1,2.281325,2.281325,2.281325,2.281325,0,5,78,7,0,0,0,0,0,0,0,0,0,0,0,0,0
16384,16385,8565261146337466192,"prepare payment (INTEGER, INTEGER, INTEGER, INTEGER, NUMERIC, INTEGER, NUMERIC, VARCHAR) AS select payment($1,$2,$3,$4,$5,$6,$7,$8,$9,$10)",0,0,0,0,0,0,90860697,43222084.32495468,0.09857,232.398242,0.4756961563362301,1.0039492447354246,90860697,2112303058,12059843,18099342,4518580,0,0,0,0,0,0,0,0,431637301,16251638,152256482550
10,16385,-8063160503150200351,CREATE EXTENSION IF NOT EXISTS pg_stat_statements,0,0,0,0,0,0,1,0.65345,0.65345,0.65345,0.65345,0,0,17,4,0,0,0,0,0,0,0,0,0,0,0,0,0
10,16385,-1082902001138288950,"copy (select now(), sum(d_next_o_id) from district) to stdout",0,0,0,0,0,0,147,2226.659868,2.190121,39.013511,15.147346040816329,6.5608171099547965,147,1843287,306,0,0,0,0,0,0,0,0,0,0,325,0,30814
10,16385,-1223765790011969516,"COPY (SELECT c.oid, c.relname, c.relkind, st.* FROM pg_class AS c, pgstattuple(c.oid::regclass) AS st WHERE c.relnamespace = (SELECT oid FROM pg_namespace WHERE nspname = 'public') AND relkind IN ('r', 'i') ORDER BY relkind, relname) TO stdout WITH CSV HEADER",0,0,0,0,0,0,1,712949.915287,712949.915287,712949.915287,712949.915287,0,19,20742081,24788691,0,0,0,0,0,0,0,0,0,0,6,0,352
10,16385,-8610820246424350903,CREATE EXTENSION IF NOT EXISTS pgstattuple,0,0,0,0,0,0,1,18.51806,18.51806,18.51806,18.51806,0,0,1528,65,42,3,0,0,0,0,0,0,0,0,224,34,76869
16384,16385,-740742010131040117,"prepare neword (INTEGER, INTEGER, INTEGER, INTEGER, INTEGER) as select neword($1,$2,$3,$4,$5,$6)",0,0,0,0,0,0,90854518,115243238.8208397,0.323854,615.2582960000001,1.26843707234042,1.4139579429921654,90854518,15689648359,18210605,67790321,22124006,0,0,0,0,0,0,0,0,3684993194,52968468,702218580188
10,16385,-1368367109486112334,"COPY (SELECT oid, datname, pg_database_size(oid) AS size, pg_size_pretty(pg_database_size(oid)) AS size_pretty FROM pg_database ORDER BY datname) TO stdout WITH CSV HEADER",0,0,0,0,0,0,1,4.684325,4.684325,4.684325,4.684325,0,4,165,6,0,0,0,0,0,0,0,0,0,0,0,0,0
16384,16385,4194795864480504898,select sum(d_next_o_id) from district,0,0,0,0,0,0,2,29.205672999999997,8.596124999999999,20.609547999999997,14.602836499999999,6.006711499999999,2,21223,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16384,16385,-244390331813337068,select max(d_id) from district,0,0,0,0,0,0,150,472.08484799999997,1.607826,51.380575,3.14723232,4.021303294363478,150,50909,1,0,0,0,0,0,0,0,0,0,0,5268,0,342360
10,16385,7239828280932003960,"COPY (SELECT oid, relname, relkind, pg_table_size(oid) AS size, pg_size_pretty(pg_table_size(oid)) AS size_pretty FROM pg_class WHERE relnamespace = (SELECT oid FROM pg_namespace WHERE nspname = 'public') AND relkind IN ('r', 'i') ORDER BY relname) TO stdout WITH CSV HEADER",0,0,0,0,0,0,1,2.987789,2.987789,2.987789,2.987789,0,19,603,12,0,0,0,0,0,0,0,0,0,0,0,0,0
16384,16385,-3535700428539664619,select sum(xact_commit + xact_rollback) from pg_stat_database,0,0,0,0,0,0,2,20.671645,10.302392000000001,10.369253,10.3358225,0.0334304999999997,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,16385,8565171400252749021,COPY (SELECT sum(size) AS wal_size FROM pg_ls_waldir()) TO stdout WITH CSV HEADER,0,0,0,0,0,0,1,6.739614,6.739614,6.739614,6.739614,0,1,43,3,0,0,0,0,0,0,0,0,0,0,0,0,0
16384,16385,-8745247502186204514,"prepare ostat (INTEGER, INTEGER, INTEGER, INTEGER, VARCHAR) AS select * from ostat($1,$2,$3,$4,$5) as (ol_i_id integer,  ol_supply_w_id integer, ol_quantity smallint, ol_amount NUMERIC, ol_delivery_d TIMESTAMPtz,  out_os_c_id INTEGER, out_os_c_last VARCHAR, os_c_first VARCHAR, os_c_middle VARCHAR, os_c_balance NUMERIC, os_o_id INTEGER, os_entdate TIMESTAMPtz, os_o_carrier_id INTEGER)",0,0,0,0,0,0,9082178,2461380.1054864316,0.043355,603.889895,0.27101209704169554,0.7434595420075171,35491968,112706657,333077,988016,63616,0,0,0,0,0,0,0,0,6498783,1002852,4933075735
16384,16385,-7388155824636550366,"prepare slev (INTEGER, INTEGER, INTEGER) AS select slev($1,$2,$3)",0,0,0,0,0,0,9081702,266382242.37866077,0.444685,13697.513096,29.331753274735007,82.10362660459207,9081702,173924958460,51599,2391763,1050,0,0,0,0,0,0,0,0,254293844,2487570,35350082303
16384,16385,5616180274698321996,set CLIENT_MIN_MESSAGES TO 'ERROR',0,0,0,0,0,0,151,0.38905700000000004,0.001294,0.065286,0.0025765364238410585,0.005183417061563131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16384,16385,-6783434085329012012,select max(w_id) from warehouse,0,0,0,0,0,0,150,6.035659999999999,0.024178,0.552628,0.04023773333333332,0.05843274748685211,150,593,1,0,0,0,0,0,0,0,0,0,0,5,0,580
16384,16385,431293040050433973,set client_encoding to 'UTF8',0,0,0,0,0,0,151,1.7111849999999997,0.00591,0.429623,0.01133235099337748,0.034235504618443297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,13434,5470398651945588767,"copy (select now(), * from pg_stat_activity) to stdout",0,0,0,0,0,0,147,441.5815189999999,1.449968,20.205727,3.003955911564625,1.5784594847081577,21586,37713,56,0,0,0,0,0,0,0,0,0,0,0,0,0
10,16385,9123510028664027085,CREATE EXTENSION IF NOT EXISTS pg_prewarm,0,0,0,0,0,0,1,4.523415,4.523415,4.523415,4.523415,0,0,366,1,1,0,0,0,0,0,0,0,0,0,36,1,6214
10,16385,8791746904918487037,"COPY (SELECT c.oid, c.relname, st.* FROM pg_class AS c, pgstatindex(c.oid::regclass) AS st WHERE c.relnamespace = (SELECT oid FROM pg_namespace WHERE nspname = 'public') AND relkind = 'i' ORDER BY relname) TO stdout WITH CSV HEADER",0,0,0,0,0,0,1,8521.554255,8521.554255,8521.554255,8521.554255,0,10,779,4047522,0,0,0,0,0,0,0,0,0,0,3,0,178
