oid,relname,version,tree_level,index_size,root_block_no,internal_pages,leaf_pages,empty_pages,deleted_pages,avg_leaf_density,leaf_fragmentation
16436,customer_i1,4,3,1892573184,41827,1140,229886,0,0,90.52,0
16438,customer_i2,4,3,3514769408,16948,3287,425761,0,0,90.1,0.57
16440,district_i1,4,1,1548288,3,1,187,0,0,26.53,49.2
16442,item_i1,4,1,2260992,3,1,274,0,0,89.83,0
16444,new_order_i1,4,3,864428032,42442,494,84487,0,20539,87.98,4.32
16446,order_line_i1,4,3,64395558912,41827,48655,7812130,0,0,72.01,24.55
16448,orders_i1,4,3,5600960512,41827,3329,680381,0,0,79.25,13.21
16450,orders_i2,4,3,5998469120,41827,3630,728604,0,0,74.33,36.46
16452,stock_i1,4,3,4891918336,81517,2130,595027,0,0,82.83,8.16
16454,warehouse_i1,4,1,204800,3,1,23,0,0,21.62,47.83
