oid,relname,relkind,table_len,tuple_count,tuple_len,tuple_percent,dead_tuple_count,dead_tuple_len,dead_tuple_percent,free_space,free_percent
16436,customer_i1,i,1899880448,60568180,1453641936,76.51,68602,1646560,0.09,176083996,9.27
16438,customer_i2,i,3990790144,60599250,2879110960,72.14,30341,1444888,0.04,794927576,19.92
16440,district_i1,i,9527296,20000,320000,3.36,0,0,0,9004116,94.51
16442,item_i1,i,2260992,100000,1600000,70.77,0,0,0,227092,10.04
16444,new_order_i1,i,1110360064,18723169,449356056,40.47,3230959,77543016,6.98,484298524,43.62
16446,order_line_i1,i,53133754368,1361532577,33856055272,63.72,12527039,300648936,0.57,12697545256,23.9
16448,orders_i1,i,5020803072,128091701,3093946280,61.62,0,0,0,1345614080,26.8
16450,orders_i2,i,4983062528,129271806,3103338864,62.28,2998,71952,0,1293668448,25.96
16452,stock_i1,i,5093883904,200015309,3201112104,62.84,861493,13879848,0.27,1017593404,19.98
16454,warehouse_i1,i,753664,2000,32000,4.25,0,0,0,691540,91.76
16406,customer,r,42240589824,60000000,35197515164,83.33,4116633,2453799898,5.81,3871446372,9.17
16412,district,r,65355776,20000,2286397,3.5,0,0,0,60306328,92.27
16415,history,r,10043432960,126632916,9049616056,90.1,0,0,0,40912928,0.41
16418,item,r,10633216,100000,9785910,92.03,0,0,0,57644,0.54
16421,new_order,r,1313652736,18647389,634011226,48.26,2636301,89634234,6.82,336150868,25.59
16424,order_line,r,140543655936,1266402657,108144257194,76.95,57605266,4950905054,3.52,15864249352,11.29
16427,orders,r,8302592000,126641589,6548067850,78.87,633199,31659950,0.38,403891160,4.86
16430,stock,r,78936195072,200000000,66181713386,83.84,5410102,1792904992,2.27,8811930144,11.16
16433,warehouse,r,15482880,2000,217673,1.41,22,2348,0.02,14628456,94.48
