oid,relname,version,tree_level,index_size,root_block_no,internal_pages,leaf_pages,empty_pages,deleted_pages,avg_leaf_density,leaf_fragmentation
16436,customer_i1,4,3,2111733760,41827,1230,256549,0,0,82.47,10.39
16438,customer_i2,4,3,4088193024,16948,3839,495207,0,0,78.97,14.51
16440,district_i1,4,2,11755520,412,7,1427,0,0,3.78,50.18
16442,item_i1,4,1,2260992,3,1,274,0,0,89.83,0
16444,new_order_i1,4,3,1129480192,42442,630,85193,0,52052,86.06,5.05
16446,order_line_i1,4,3,50307645440,41827,36515,6104554,0,0,76.46,24.57
16448,orders_i1,4,3,4770226176,41827,2995,579307,0,0,72.75,20.51
16450,orders_i2,4,3,4847239168,41827,2999,588704,0,0,71.86,34.14
16452,stock_i1,4,3,5296857088,81517,2324,644264,0,0,77.78,15.18
16454,warehouse_i1,4,1,1253376,3,1,151,0,0,3.54,49.67
