userid,dbid,queryid,query,plans,total_plan_time,min_plan_time,max_plan_time,mean_plan_time,stddev_plan_time,calls,total_exec_time,min_exec_time,max_exec_time,mean_exec_time,stddev_exec_time,rows,shared_blks_hit,shared_blks_read,shared_blks_dirtied,shared_blks_written,local_blks_hit,local_blks_read,local_blks_dirtied,local_blks_written,temp_blks_read,temp_blks_written,blk_read_time,blk_write_time,wal_records,wal_fpi,wal_bytes
10,16385,-6766677562622511123,COPY (SELECT * FROM pg_stat_statements) TO stdout WITH CSV HEADER,0,0,0,0,0,0,1,3.77271,3.77271,3.77271,3.77271,0,5,78,7,0,0,0,0,0,0,0,0,0,0,0,0,0
16384,16385,8565261146337466192,"prepare payment (INTEGER, INTEGER, INTEGER, INTEGER, NUMERIC, INTEGER, NUMERIC, VARCHAR) AS select payment($1,$2,$3,$4,$5,$6,$7,$8,$9,$10)",0,0,0,0,0,0,56972051,191276234.86325425,0.099489,656.05642,3.357369648904461,6.575120437955094,56972051,3653315370,15380664,21405898,12243665,0,0,0,0,0,0,0,0,289587290,15222439,127911476603
10,16385,-8063160503150200351,CREATE EXTENSION IF NOT EXISTS pg_stat_statements,0,0,0,0,0,0,1,0.938014,0.938014,0.938014,0.938014,0,0,17,4,0,0,0,0,0,0,0,0,0,0,0,0,0
10,16385,-1082902001138288950,"copy (select now(), sum(d_next_o_id) from district) to stdout",0,0,0,0,0,0,145,21495.218152000005,2.130363,570.910976,148.24288380689657,135.30558513011718,145,6353662,487,3,136,0,0,0,0,0,0,0,0,1324,5,164642
10,16385,-1223765790011969516,"COPY (SELECT c.oid, c.relname, c.relkind, st.* FROM pg_class AS c, pgstattuple(c.oid::regclass) AS st WHERE c.relnamespace = (SELECT oid FROM pg_namespace WHERE nspname = 'public') AND relkind IN ('r', 'i') ORDER BY relkind, relname) TO stdout WITH CSV HEADER",0,0,0,0,0,0,1,627218.434286,627218.434286,627218.434286,627218.434286,0,19,20742081,24788691,0,0,0,0,0,0,0,0,0,0,6,0,352
10,16385,-8610820246424350903,CREATE EXTENSION IF NOT EXISTS pgstattuple,0,0,0,0,0,0,1,23.021465,23.021465,23.021465,23.021465,0,0,1528,65,42,3,0,0,0,0,0,0,0,0,224,34,76869
16384,16385,-740742010131040117,"prepare neword (INTEGER, INTEGER, INTEGER, INTEGER, INTEGER) as select neword($1,$2,$3,$4,$5,$6)",0,0,0,0,0,0,56980226,1229331823.909306,0.337822,617.085136,21.574709512545915,23.670889276983317,56980226,12238020293,46604670,103038640,43389625,0,0,0,0,0,0,0,0,2400846427,78971266,795174164059
10,16385,-1368367109486112334,"COPY (SELECT oid, datname, pg_database_size(oid) AS size, pg_size_pretty(pg_database_size(oid)) AS size_pretty FROM pg_database ORDER BY datname) TO stdout WITH CSV HEADER",0,0,0,0,0,0,1,4.690816,4.690816,4.690816,4.690816,0,4,165,6,0,0,0,0,0,0,0,0,0,0,0,0,0
16384,16385,4194795864480504898,select sum(d_next_o_id) from district,0,0,0,0,0,0,2,551.135972,26.705759,524.430213,275.567986,248.862227,2,105352,0,0,0,0,0,0,0,0,0,0,0,17,0,2390
16384,16385,-244390331813337068,select max(d_id) from district,0,0,0,0,0,0,450,1871.5096859999996,1.607856,30.072719000000003,4.158910413333333,3.440416433122767,450,172775,1,8,0,0,0,0,0,0,0,0,0,31482,0,2069416
10,16385,7239828280932003960,"COPY (SELECT oid, relname, relkind, pg_table_size(oid) AS size, pg_size_pretty(pg_table_size(oid)) AS size_pretty FROM pg_class WHERE relnamespace = (SELECT oid FROM pg_namespace WHERE nspname = 'public') AND relkind IN ('r', 'i') ORDER BY relname) TO stdout WITH CSV HEADER",0,0,0,0,0,0,1,4.146169,4.146169,4.146169,4.146169,0,19,603,12,0,0,0,0,0,0,0,0,0,0,0,0,0
16384,16385,-3535700428539664619,select sum(xact_commit + xact_rollback) from pg_stat_database,0,0,0,0,0,0,2,20.657693000000002,10.318772000000001,10.338921,10.328846500000001,0.010074499999999542,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,16385,8565171400252749021,COPY (SELECT sum(size) AS wal_size FROM pg_ls_waldir()) TO stdout WITH CSV HEADER,0,0,0,0,0,0,1,6.875586,6.875586,6.875586,6.875586,0,1,43,3,0,0,0,0,0,0,0,0,0,0,0,0,0
16384,16385,-8745247502186204514,"prepare ostat (INTEGER, INTEGER, INTEGER, INTEGER, VARCHAR) AS select * from ostat($1,$2,$3,$4,$5) as (ol_i_id integer,  ol_supply_w_id integer, ol_quantity smallint, ol_amount NUMERIC, ol_delivery_d TIMESTAMPtz,  out_os_c_id INTEGER, out_os_c_last VARCHAR, os_c_first VARCHAR, os_c_middle VARCHAR, os_c_balance NUMERIC, os_o_id INTEGER, os_entdate TIMESTAMPtz, os_o_carrier_id INTEGER)",0,0,0,0,0,0,5692555,20495760.681701295,0.050046999999999994,605.305569,3.6004501812809204,12.984653693823988,20349836,67867736,3898168,1836750,2627260,0,0,0,0,0,0,0,0,3734033,1450915,6399250601
16384,16385,-7388155824636550366,"prepare slev (INTEGER, INTEGER, INTEGER) AS select slev($1,$2,$3)",0,0,0,0,0,0,5695403,580732174.8557675,0.514835,232928.56799399998,101.96507162984521,1486.3528078506406,5695403,64123751580,14956353,9593281,10600183,0,0,0,0,0,0,0,0,138419995,7878341,67124271419
16384,16385,5616180274698321996,set CLIENT_MIN_MESSAGES TO 'ERROR',0,0,0,0,0,0,451,1.2625119999999992,0.001405,0.031619,0.002799361419068735,0.0019010413893003537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16384,16385,-6783434085329012012,select max(w_id) from warehouse,0,0,0,0,0,0,450,33.56528300000002,0.0245,9.570796,0.07458951777777782,0.5566402347365134,450,1798,1,0,0,0,0,0,0,0,0,0,0,18,0,1928
16384,16385,431293040050433973,set client_encoding to 'UTF8',0,0,0,0,0,0,451,4.289077000000002,0.006138,0.142834,0.009510148558758319,0.006944096089093237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,13434,5470398651945588767,"copy (select now(), * from pg_stat_activity) to stdout",0,0,0,0,0,0,145,875.2973929999998,1.415885,35.672463,6.036533744827585,4.32900903924592,59716,36500,755,0,489,0,0,0,0,0,0,0,0,0,0,0
10,16385,9123510028664027085,CREATE EXTENSION IF NOT EXISTS pg_prewarm,0,0,0,0,0,0,1,4.980553,4.980553,4.980553,4.980553,0,0,366,1,1,0,0,0,0,0,0,0,0,0,36,1,6214
10,16385,8791746904918487037,"COPY (SELECT c.oid, c.relname, st.* FROM pg_class AS c, pgstatindex(c.oid::regclass) AS st WHERE c.relnamespace = (SELECT oid FROM pg_namespace WHERE nspname = 'public') AND relkind = 'i' ORDER BY relname) TO stdout WITH CSV HEADER",0,0,0,0,0,0,1,8822.677597,8822.677597,8822.677597,8822.677597,0,10,779,4047522,0,0,0,0,0,0,0,0,0,0,3,0,178
10,16385,-1712481118449147880,COPY (SELECT * FROM pg_stat_all_indexes) TO stdout WITH CSV HEADER,0,0,0,0,0,0,2,7.011399,3.222515,3.788884,3.5056995,0.28318449999999995,330,2910,8,0,0,0,0,0,0,0,0,0,0,0,0,0
16384,16385,8895013903481646298,"prepare delivery (INTEGER, INTEGER) AS select delivery($1,$2)",0,0,0,0,0,0,5694881,412212418.1206736,0.448939,11062.898304999999,72.38297308068934,104.8191415017361,5694881,5298971281,14876333,28089452,18525986,0,0,0,0,0,0,0,0,1365072087,15894943,199577078045
