oid,relname,relkind,size,size_pretty
16406,customer,r,42595229696,40 GB
16436,customer_i1,i,1962377216,1871 MB
16438,customer_i2,i,4073177088,3884 MB
16412,district,r,154091520,147 MB
16440,district_i1,i,12623872,12 MB
16415,history,r,9292701696,8862 MB
16418,item,r,10665984,10 MB
16442,item_i1,i,2260992,2208 kB
16421,new_order,r,1459855360,1392 MB
16444,new_order_i1,i,1256136704,1198 MB
16424,order_line,r,131261726720,122 GB
16446,order_line_i1,i,49290878976,46 GB
16427,orders,r,7938097152,7570 MB
16448,orders_i1,i,4810055680,4587 MB
16450,orders_i2,i,4856250368,4631 MB
16430,stock,r,80392699904,75 GB
16452,stock_i1,i,5364170752,5116 MB
16433,warehouse,r,17793024,17 MB
16454,warehouse_i1,i,1261568,1232 kB
