oid,relname,relkind,size,size_pretty
16417,customer,r,43707727872,41 GB
16446,customer_i1,i,2281594880,2176 MB
16448,customer_i2,i,4143120384,3951 MB
16422,district,r,675979264,645 MB
16450,district_i1,i,13000704,12 MB
16425,history,r,8332337152,7946 MB
16428,item,r,10665984,10 MB
16452,item_i1,i,2260992,2208 kB
16431,new_order,r,1441726464,1375 MB
16454,new_order_i1,i,1070055424,1020 MB
16434,order_line,r,119994015744,112 GB
16456,order_line_i1,i,43188928512,40 GB
16437,orders,r,7176912896,6844 MB
16458,orders_i1,i,4335665152,4135 MB
16460,orders_i2,i,4347494400,4146 MB
16440,stock,r,84696760320,79 GB
16462,stock_i1,i,5481308160,5227 MB
16443,warehouse,r,321527808,307 MB
16464,warehouse_i1,i,1302528,1272 kB
