oid,relname,relkind,table_len,tuple_count,tuple_len,tuple_percent,dead_tuple_count,dead_tuple_len,dead_tuple_percent,free_space,free_percent
16446,customer_i1,i,2248646656,60890739,1461732872,65.01,497077,11971272,0.53,498402316,22.16
16448,customer_i2,i,4102955008,61139301,2906540688,70.84,147328,7060440,0.17,869423688,21.19
16450,district_i1,i,12484608,21112,338064,2.71,686,10976,0.09,11885836,95.2
16452,item_i1,i,2260992,100000,1600000,70.77,0,0,0,227092,10.04
16454,new_order_i1,i,1026572288,19063185,457516440,44.57,2596023,62304552,6.07,408342876,39.78
16456,order_line_i1,i,41914990592,1133422630,28227728112,67.35,1628775,39090600,0.09,8501415268,20.28
16458,orders_i1,i,4232192000,113819225,2797713352,66.11,0,0,0,920855196,21.76
16460,orders_i2,i,4315553792,114694585,2805498568,65.01,20413,489912,0.01,991603336,22.98
16462,stock_i1,i,5493628928,200332753,3205340728,58.35,5445654,87133648,1.59,1315574128,23.95
16464,warehouse_i1,i,1417216,2021,32336,2.28,6,96,0.01,1349624,95.23
16417,customer,r,43519598592,60000000,35116201381,80.69,6379763,3767660645,8.66,3884535336,8.93
16422,district,r,290660352,20000,2288777,0.79,0,0,0,286881700,98.7
16425,history,r,8201265152,103076969,7379433701,89.98,0,0,0,35939392,0.44
16428,item,r,10633216,100000,9785910,92.03,0,0,0,57644,0.54
16431,new_order,r,1324793856,19051315,647744710,48.89,2468987,83945558,6.34,350453624,26.45
16434,order_line,r,118122012672,1030808886,87893706640,74.41,121565322,10448144966,8.85,10520133828,8.91
16437,orders,r,7157006336,103088615,5322505350,74.37,5417321,270866050,3.78,496818252,6.94
16440,stock,r,84035444736,200000000,66181713386,78.75,14590922,4831056906,5.75,10691472856,12.72
16443,warehouse,r,145498112,2000,218149,0.15,0,0,0,144610468,99.39
