oid,relname,relkind,table_len,tuple_count,tuple_len,tuple_percent,dead_tuple_count,dead_tuple_len,dead_tuple_percent,free_space,free_percent
16992,customer_i1,i,1892982784,62183350,1492587976,78.85,1931201,46361480,2.45,71674584,3.79
17009,customer_i2,i,3494797312,60194597,2859596936,81.82,45166,2151336,0.06,328083144,9.39
16994,district_i1,i,2990080,20000,320000,10.7,0,0,0,2550484,85.3
16996,item_i1,i,2260992,100000,1600000,70.77,0,0,0,227092,10.04
16998,new_order_i1,i,1042161664,18324305,439783320,42.2,0,0,0,518476376,49.75
17000,order_line_i1,i,53981749248,1386536923,34305664408,63.55,3251572,78050912,0.14,13243840996,24.53
17002,orders_i1,i,4872175616,132497589,3191329808,65.5,0,0,0,1084114188,22.25
17008,orders_i2,i,5264752640,133157125,3196608456,60.72,5,120,0,1462891244,27.79
17004,stock_i1,i,4492763136,203824400,3261649568,72.6,3244116,51945504,1.16,300074840,6.68
17006,warehouse_i1,i,385024,2000,32000,8.31,0,0,0,325780,84.61
16928,customer,r,41074212864,60000000,35225910928,85.76,1711939,1017676888,2.48,4125362760,10.04
16934,district,r,106799104,20000,2287999,2.14,0,0,0,100003276,93.64
16937,history,r,10403725312,131227948,9367767660,90.04,0,0,0,42408940,0.41
16940,item,r,10633216,100000,9786945,92.04,0,0,0,57844,0.54
16943,new_order,r,1312989184,18324305,623026370,47.45,0,0,0,448478456,34.16
16946,order_line,r,136239693824,1312344171,112093287350,82.28,59708430,5131807066,3.77,7164114720,5.26
16949,orders,r,8483586048,131231174,6787372438,80.01,227313,11413742,0.13,294145840,3.47
16952,stock,r,74614292480,200000000,66181729614,88.7,9046056,2994076948,4.01,3367684720,4.51
16955,warehouse,r,10199040,2000,218102,2.14,0,0,0,9560064,93.73
