oid,relname,version,tree_level,index_size,root_block_no,internal_pages,leaf_pages,empty_pages,deleted_pages,avg_leaf_density,leaf_fragmentation
16992,customer_i1,4,3,1892573184,41827,1140,229886,0,0,90.28,0
17009,customer_i2,4,3,3494789120,17574,3278,423331,0,0,90.37,0
16994,district_i1,4,1,1056768,3,1,127,0,0,38.93,47.24
16996,item_i1,4,1,2260992,3,1,274,0,0,89.83,0
16998,new_order_i1,4,3,843653120,42442,443,76399,0,26142,88.89,1.54
17000,order_line_i1,4,3,60339437568,41827,45658,7319995,0,0,75.21,21.79
17002,orders_i1,4,3,5218590720,41827,3422,633612,0,0,82.5,9.17
17008,orders_i2,4,3,5828714496,41827,3590,707922,0,0,74.11,35.85
17004,stock_i1,4,3,4492673024,81517,1933,546488,0,0,90.51,0.01
17006,warehouse_i1,4,1,163840,3,1,18,0,0,27.54,55.56
