oid,relname,relkind,size,size_pretty
16928,customer,r,40209997824,37 GB
16992,customer_i1,i,1892573184,1805 MB
17009,customer_i2,i,3494789120,3333 MB
16934,district,r,59383808,57 MB
16994,district_i1,i,1818624,1776 kB
16937,history,r,14230700032,13 GB
16940,item,r,10665984,10 MB
16996,item_i1,i,2260992,2208 kB
16943,new_order,r,1018159104,971 MB
16998,new_order_i1,i,890822656,850 MB
16946,order_line,r,186297638912,174 GB
17000,order_line_i1,i,76095774720,71 GB
16949,orders,r,11453865984,11 GB
17002,orders_i1,i,6568206336,6264 MB
17008,orders_i2,i,7193681920,6860 MB
16952,stock,r,72549236736,68 GB
17004,stock_i1,i,4492615680,4284 MB
16955,warehouse,r,46055424,44 MB
17006,warehouse_i1,i,270336,264 kB
