oid,relname,version,tree_level,index_size,root_block_no,internal_pages,leaf_pages,empty_pages,deleted_pages,avg_leaf_density,leaf_fragmentation
16992,customer_i1,4,3,1892573184,41827,1140,229886,0,0,91.78,0
17009,customer_i2,4,3,3494789120,17574,3278,423331,0,0,91.82,0
16994,district_i1,4,1,1646592,3,1,199,0,0,24.95,50.25
16996,item_i1,4,1,2260992,3,1,274,0,0,89.83,0
16998,new_order_i1,4,3,876265472,42442,440,74056,0,32469,87.23,3.69
17000,order_line_i1,4,3,75242921984,41827,57736,9127190,0,0,73.51,24.34
17002,orders_i1,4,3,6389284864,41827,3776,776165,0,0,80.76,10.56
17008,orders_i2,4,3,7077748736,41827,4247,859735,0,0,73.11,38.98
17004,stock_i1,4,3,4492353536,81517,1933,546449,0,0,90.94,0
17006,warehouse_i1,4,1,212992,3,1,24,0,0,20.73,50
