oid,relname,relkind,size,size_pretty
16928,customer,r,39379116032,37 GB
16992,customer_i1,i,1892573184,1805 MB
17009,customer_i2,i,3494789120,3333 MB
16934,district,r,13320192,13 MB
16994,district_i1,i,1695744,1656 kB
16937,history,r,11772010496,11 GB
16940,item,r,10665984,10 MB
16996,item_i1,i,2260992,2208 kB
16943,new_order,r,1000374272,954 MB
16998,new_order_i1,i,841129984,802 MB
16946,order_line,r,151292182528,141 GB
17000,order_line_i1,i,59707564032,56 GB
16949,orders,r,9389850624,8955 MB
17002,orders_i1,i,5085773824,4850 MB
17008,orders_i2,i,5813035008,5544 MB
16952,stock,r,71098073088,66 GB
17004,stock_i1,i,4492353536,4284 MB
16955,warehouse,r,2326528,2272 kB
17006,warehouse_i1,i,147456,144 kB
