userid,dbid,queryid,query,plans,total_plan_time,min_plan_time,max_plan_time,mean_plan_time,stddev_plan_time,calls,total_exec_time,min_exec_time,max_exec_time,mean_exec_time,stddev_exec_time,rows,shared_blks_hit,shared_blks_read,shared_blks_dirtied,shared_blks_written,local_blks_hit,local_blks_read,local_blks_dirtied,local_blks_written,temp_blks_read,temp_blks_written,blk_read_time,blk_write_time,wal_records,wal_fpi,wal_bytes
10,16401,-5446850752671536204,SHOW log_disconnections,0,0,0,0,0,0,4,0.0028510000000000002,0.000631,0.000795,0.0007127500000000001,5.8165174288400453e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,16402,-1712481118449147880,COPY (SELECT * FROM pg_stat_all_indexes) TO stdout WITH CSV HEADER,0,0,0,0,0,0,2,10.625113,4.313525,6.311588,5.3125565,0.9990315000000001,330,1950,8,0,0,0,0,0,0,0,0,0,0,0,0,0
10,16402,-4894820394423214813,COPY (SELECT * FROM pg_stat_database) TO stdout WITH CSV HEADER,0,0,0,0,0,0,2,21.042510999999998,10.374928,10.667582999999999,10.521255499999999,0.1463274999999986,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,16402,-3400905425668852440,"/* contrib/pg_prewarm/pg_prewarm--1.1.sql */

-- complain if script is sourced in psql, rather than via CREATE EXTENSION


-- Register the function.
CREATE FUNCTION pg_prewarm(regclass,
						   mode text default 'buffer',
						   fork text default 'main',
						   first_block int8 default null,
						   last_block int8 default null)
RETURNS int8
AS '$libdir/pg_prewarm', 'pg_prewarm'
LANGUAGE C PARALLEL SAFE",0,0,0,0,0,0,1,3.155477,3.155477,3.155477,3.155477,0,0,88,0,0,0,0,0,0,0,0,0,0,0,9,0,1561
10,16402,-2383185587194445136,COPY (SELECT * FROM pg_stat_bgwriter) TO stdout WITH CSV HEADER,0,0,0,0,0,0,2,0.253791,0.11668,0.137111,0.1268955,0.010215499999999995,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,16402,-6809158549502233813,"COPY (SELECT c.oid, c.relname, c.relkind, st.* FROM pg_class AS c, pgstattuple(c.oid::regclass) AS st WHERE c.relnamespace = (SELECT oid FROM pg_namespace WHERE nspname = $1) AND relkind IN ($2, $3) ORDER BY relkind, relname) TO stdout WITH CSV HEADER",0,0,0,0,0,0,1,130526.29177099999,130526.29177099999,130526.29177099999,130526.29177099999,0,19,20741920,24789658,0,0,0,0,0,0,0,0,0,0,0,0,0
10,16401,-4478792916171353450,SELECT nspname FROM pg_namespace nsp JOIN pg_proc pro ON pronamespace=nsp.oid WHERE proname = $1,0,0,0,0,0,0,27,10.928109999999998,0.065368,7.716342999999999,0.4047448148148148,1.438173626255241,0,135,27,0,20,0,0,0,0,0,0,0,0,0,0,0
16384,16402,1911021614501636910,"UPDATE warehouse SET w_ytd = w_ytd + p_h_amount
WHERE w_id = p_w_id",0,0,0,0,0,0,120093083,11446592.100105748,0.012799999999999999,13272.245105,0.09531433296710475,1.8320825632113913,120093083,586287625,130965,129409,106729,0,0,0,0,0,0,0,0,122295321,23058,8631292090
10,16402,-1053197692998249427,REVOKE EXECUTE ON FUNCTION pgstattuple(regclass) FROM PUBLIC,0,0,0,0,0,0,1,0.01987,0.01987,0.01987,0.01987,0,0,12,0,0,0,0,0,0,0,0,0,0,0,3,0,282
16384,16402,1549575090342361865,SELECT no_o_id                FROM new_order WHERE no_w_id = d_w_id AND no_d_id = d_d_id ORDER BY no_o_id ASC LIMIT $5,0,0,0,0,0,0,120129650,4372281.013106902,0.004452,21785.779169,0.03639635188404798,2.068910879532699,120128742,1274803055,3714508,443665,2765602,0,0,0,0,0,0,0,0,7556689,26755,604967015
16384,16402,4992200603692471354,"SELECT count(c_id)              FROM customer
WHERE c_last = os_c_last AND c_d_id = os_d_id AND c_w_id = os_w_id",0,0,0,0,0,0,7202609,1522540.2083409976,0.010859,21803.490567,0.21138731928126556,19.021085008299064,7202609,108722764,36945276,6383563,27586534,0,0,0,0,0,0,0,0,11563836,86138,1308804056
10,16401,-4414173500990894660,SHOW client_min_messages,0,0,0,0,0,0,4,0.0037949999999999998,0.000865,0.001017,0.0009487499999999999,6.86890639039432e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,16402,435174621275570554,COPY (SELECT * FROM pg_stat_database) TO stdout WITH CSV HEADER,0,0,0,0,0,0,2,65.275675,16.461414,48.814261,32.6378375,16.176423500000002,10,287,66,3,0,0,0,0,0,0,0,0,0,1,1,183
10,16402,7173655651343239529,"WITH
settings (block_size, shared_buffers, effective_cache_size) AS (
    VALUES (pg_size_bytes(current_setting($1)),
            pg_size_bytes(current_setting($2)),
            pg_size_bytes(current_setting($3)))
),
rels (oid, size) AS (
    SELECT oid, sum(relpages) OVER (ORDER BY relpages)
    FROM pg_class
    WHERE relnamespace = (SELECT oid FROM pg_namespace WHERE nspname = $4)
      AND relkind IN ($5, $6)
)
SELECT pg_prewarm(r.oid, CASE WHEN r.size * s.block_size <= s.shared_buffers THEN $7 ELSE $8 END)
FROM rels AS r,
     settings AS s
WHERE r.size * s.block_size <= GREATEST(s.shared_buffers, s.effective_cache_size)",0,0,0,0,0,0,1,30741.31829,30741.31829,30741.31829,30741.31829,0,19,608,5175925,0,124,0,0,0,0,0,0,0,0,0,0,0
10,16401,-5701773864256765102,"SELECT c.relname AS sequence_name FROM pg_catalog.pg_class c, pg_catalog.pg_namespace n WHERE c.relkind = $2 AND c.relnamespace = n.oid AND n.nspname = $1",0,0,0,0,0,0,80,28.912833,0.082628,1.139334,0.3614104125000001,0.18024634266571776,0,742,458,0,306,0,0,0,0,0,0,0,0,0,0,0
